"",BBNZ1.Q.DE.Y.H.0052.A,BBNZ1.Q.DE.Y.H.0052.A_FLAGS
"",Germany / National accounts / Origin of GDP / Production sector (excluding construction) / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:39,
1991-01,90.60,
1991-04,88.30,
1991-07,86.82,
1991-10,88.12,
1992-01,88.82,
1992-04,86.00,
1992-07,84.08,
1992-10,82.49,
1993-01,80.64,
1993-04,78.71,
1993-07,78.82,
1993-10,79.61,
1994-01,80.38,
1994-04,80.69,
1994-07,80.97,
1994-10,83.85,
1995-01,81.70,
1995-04,81.81,
1995-07,81.31,
1995-10,81.02,
1996-01,78.74,
1996-04,79.39,
1996-07,79.63,
1996-10,80.82,
1997-01,80.84,
1997-04,81.65,
1997-07,82.27,
1997-10,84.26,
1998-01,83.29,
1998-04,82.90,
1998-07,82.65,
1998-10,81.57,
1999-01,81.92,
1999-04,82.10,
1999-07,83.27,
1999-10,84.79,
2000-01,86.76,
2000-04,88.59,
2000-07,89.51,
2000-10,89.73,
2001-01,90.81,
2001-04,89.68,
2001-07,89.25,
2001-10,88.63,
2002-01,87.63,
2002-04,88.24,
2002-07,88.96,
2002-10,88.98,
2003-01,88.83,
2003-04,88.32,
2003-07,88.75,
2003-10,90.02,
2004-01,90.66,
2004-04,92.35,
2004-07,92.23,
2004-10,91.38,
2005-01,91.96,
2005-04,92.39,
2005-07,93.56,
2005-10,94.61,
2006-01,96.57,
2006-04,98.55,
2006-07,99.71,
2006-10,101.19,
2007-01,101.41,
2007-04,103.33,
2007-07,105.00,
2007-10,105.82,
2008-01,104.33,
2008-04,104.14,
2008-07,102.62,
2008-10,95.84,
2009-01,84.66,
2009-04,84.71,
2009-07,87.39,
2009-10,88.54,
2010-01,95.63,
2010-04,98.74,
2010-07,100.41,
2010-10,103.25,
2011-01,104.74,
2011-04,105.13,
2011-07,106.42,
2011-10,105.25,
2012-01,107.48,
2012-04,107.91,
2012-07,108.05,
2012-10,105.93,
2013-01,106.69,
2013-04,107.70,
2013-07,107.97,
2013-10,109.26,
2014-01,109.36,
2014-04,108.99,
2014-07,109.23,
2014-10,109.80,
