"",BBFB1.Q.N.DE.BE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-11-12 14:21:43,
1991-01,577.224,
1991-04,612.422,
1991-07,630.133,
1991-10,619.394,
1992-01,597.214,
1992-04,550.367,
1992-07,485.404,
1992-10,510.186,
1993-01,439.639,
1993-04,547.863,
1993-07,424.645,
1993-10,506.987,
1994-01,546.665,
1994-04,423.932,
1994-07,530.517,
1994-10,502.530,
1995-01,357.886,
1995-04,472.970,
1995-07,329.701,
1995-10,321.424,
1996-01,408.635,
1996-04,503.122,
1996-07,436.734,
1996-10,616.196,
1997-01,210.014,
1997-04,289.885,
1997-07,265.039,
1997-10,716.909,
1998-01,216.060,
1998-04,437.234,
1998-07,239.269,
1998-10,900.348,
1999-01,411.257,
1999-04,530.217,
1999-07,500.697,
1999-10,618.269,
2000-01,676.875,
2000-04,1014.274,
2000-07,1100.235,
2000-10,1026.431,
2001-01,764.601,
2001-04,548.853,
2001-07,512.701,
2001-10,620.781,
2002-01,616.119,
2002-04,675.916,
2002-07,632.903,
2002-10,676.933,
2003-01,700.435,
2003-04,846.225,
2003-07,803.902,
2003-10,906.271,
2004-01,877.037,
2004-04,927.672,
2004-07,831.728,
2004-10,846.095,
2005-01,820.282,
2005-04,926.623,
2005-07,833.615,
2005-10,870.085,
2006-01,962.415,
2006-04,1117.446,
2006-07,1073.071,
2006-10,1052.113,
2007-01,1101.875,
2007-04,1288.237,
2007-07,1205.393,
2007-10,1175.384,
2008-01,1254.788,
2008-04,1131.454,
2008-07,863.983,
2008-10,829.252,
2009-01,1017.353,
2009-04,1038.190,
2009-07,1005.761,
2009-10,1104.198,
2010-01,891.581,
2010-04,1013.689,
2010-07,1000.506,
2010-10,1050.829,
2011-01,1225.944,
2011-04,1272.607,
2011-07,1243.778,
2011-10,1226.991,
2012-01,1217.427,
2012-04,1244.562,
2012-07,1201.322,
2012-10,1237.695,
2013-01,1125.887,
2013-04,1178.852,
2013-07,1089.358,
2013-10,1116.138,
2014-01,1055.200,
2014-04,1140.568,
