"",BBK01.CEBK0X,BBK01.CEBK0X_FLAGS
"",Other equity debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:19,
1991-01,6.6,
1991-04,6.7,
1991-07,6.8,
1991-10,6.2,
1992-01,6.8,
1992-04,7.2,
1992-07,7.4,
1992-10,8.2,
1993-01,9.6,
1993-04,10.5,
1993-07,11.2,
1993-10,13.5,
1994-01,14.9,
1994-04,15.4,
1994-07,17.2,
1994-10,18.0,
1995-01,18.6,
1995-04,19.0,
1995-07,19.6,
1995-10,20.3,
1996-01,21.5,
1996-04,22.5,
1996-07,24.1,
1996-10,26.2,
1997-01,27.1,
1997-04,28.3,
1997-07,28.9,
1997-10,30.2,
1998-01,31.1,
1998-04,32.9,
1998-07,32.9,
1998-10,34.4,
1999-01,33.2,
1999-04,36.0,
1999-07,38.3,
1999-10,43.0,
2000-01,44.3,
2000-04,46.5,
2000-07,49.1,
2000-10,50.9,
2001-01,54.5,
2001-04,56.2,
2001-07,57.3,
2001-10,60.2,
2002-01,62.1,
2002-04,64.5,
2002-07,68.4,
2002-10,73.2,
2003-01,75.7,
2003-04,79.8,
2003-07,83.3,
2003-10,89.7,
2004-01,91.5,
2004-04,93.2,
2004-07,95.9,
2004-10,97.7,
2005-01,100.5,
2005-04,102.7,
2005-07,103.4,
2005-10,103.7,
2006-01,101.9,
2006-04,101.1,
2006-07,99.5,
2006-10,98.9,
2007-01,97.7,
2007-04,99.7,
2007-07,96.3,
2007-10,98.2,
2008-01,101.0,
2008-04,104.6,
2008-07,108.7,
2008-10,109.4,
2009-01,110.7,
2009-04,113.0,
2009-07,114.1,
2009-10,116.8,
2010-01,119.2,
2010-04,121.0,
2010-07,119.4,
2010-10,120.1,
2011-01,119.7,
2011-04,119.2,
2011-07,120.5,
2011-10,121.2,
2012-01,121.1,
2012-04,120.7,
2012-07,120.9,
2012-10,121.3,
2013-01,121.8,
2013-04,120.8,
2013-07,119.9,
2013-10,122.5,
2014-01,123.8,
