"",BBK01.OEAE05O,BBK01.OEAE05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:50,
2002-01,1.516,
2002-04,1.518,
2002-07,1.488,
2002-10,1.513,
2003-01,1.468,
2003-04,1.485,
2003-07,1.416,
2003-10,1.397,
2004-01,1.400,
2004-04,1.399,
2004-07,1.382,
2004-10,1.489,
2005-01,1.482,
2005-04,1.446,
2005-07,1.431,
2005-10,1.404,
2006-01,1.418,
2006-04,1.415,
2006-07,1.393,
2006-10,1.383,
2007-01,1.381,
2007-04,1.366,
2007-07,1.350,
2007-10,1.353,
2008-01,1.367,
2008-04,1.365,
2008-07,1.360,
2008-10,1.441,
2009-01,1.448,
2009-04,1.476,
2009-07,1.453,
2009-10,1.451,
2010-01,1.412,
2010-04,1.276,
2010-07,1.310,
2010-10,1.344,
2011-01,1.354,
2011-04,1.338,
2011-07,1.417,
2011-10,1.350,
2012-01,1.313,
2012-04,1.300,
2012-07,1.292,
2012-10,1.297,
2013-01,1.314,
2013-04,1.324,
2013-07,1.291,
2013-10,1.291,
2014-01,1.318,
2014-04,1.313,
2014-07,1.366,
