"",BBK01.OEXI02Q,BBK01.OEXI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:37,
2002-01,3.715,
2002-04,3.553,
2002-07,3.411,
2002-10,3.490,
2003-01,3.407,
2003-04,3.419,
2003-07,4.063,
2003-10,4.004,
2004-01,3.650,
2004-04,3.714,
2004-07,3.329,
2004-10,2.655,
2005-01,2.623,
2005-04,2.777,
2005-07,2.877,
2005-10,3.027,
2006-01,3.447,
2006-04,3.775,
2006-07,3.496,
2006-10,4.077,
2007-01,5.091,
2007-04,6.192,
2007-07,6.840,
2007-10,6.929,
2008-01,7.558,
2008-04,9.190,
2008-07,9.522,
2008-10,9.360,
2009-01,9.085,
2009-04,9.552,
2009-07,9.224,
2009-10,9.536,
2010-01,9.844,
2010-04,10.415,
2010-07,10.514,
2010-10,10.875,
2011-01,10.726,
2011-04,11.014,
2011-07,11.211,
2011-10,11.388,
2012-01,11.432,
2012-04,11.811,
2012-07,12.318,
2012-10,12.548,
2013-01,12.556,
2013-04,13.279,
2013-07,13.623,
2013-10,14.338,
2014-01,14.469,
2014-04,14.832,
2014-07,15.044,
