"",BBFB1.Q.N.DE.FR.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:24,
1991-01,908.803,
1991-04,-67.190,
1991-07,399.433,
1991-10,1375.184,
1992-01,660.380,
1992-04,163.254,
1992-07,933.092,
1992-10,1244.634,
1993-01,1171.238,
1993-04,583.934,
1993-07,728.969,
1993-10,1030.600,
1994-01,2302.557,
1994-04,410.485,
1994-07,945.795,
1994-10,1815.672,
1995-01,1313.255,
1995-04,1135.728,
1995-07,869.741,
1995-10,2036.501,
1996-01,998.590,
1996-04,666.002,
1996-07,1008.432,
1996-10,1042.460,
1997-01,809.540,
1997-04,383.577,
1997-07,-129.240,
1997-10,594.983,
1998-01,570.821,
1998-04,720.463,
1998-07,-282.909,
1998-10,1103.710,
1999-01,1635.168,
1999-04,342.847,
1999-07,1611.104,
1999-10,3099.069,
2000-01,3755.043,
2000-04,2188.907,
2000-07,1013.377,
2000-10,3223.659,
2001-01,3528.895,
2001-04,3586.719,
2001-07,3148.880,
2001-10,4133.195,
2002-01,5470.689,
2002-04,5356.438,
2002-07,3513.737,
2002-10,4700.207,
2003-01,4649.841,
2003-04,3345.126,
2003-07,3103.150,
2003-10,5103.323,
2004-01,5267.338,
2004-04,5824.223,
2004-07,4753.966,
2004-10,6503.028,
2005-01,5430.666,
2005-04,5084.212,
2005-07,3993.145,
2005-10,6091.994,
2006-01,8379.755,
2006-04,7164.252,
2006-07,5551.464,
2006-10,6285.010,
2007-01,9011.082,
2007-04,8343.134,
2007-07,6798.230,
2007-10,9910.357,
2008-01,11808.427,
2008-04,7886.005,
2008-07,5657.416,
2008-10,7081.940,
2009-01,8211.064,
2009-04,6799.800,
2009-07,5876.606,
2009-10,7703.184,
2010-01,7406.200,
2010-04,7871.091,
2010-07,6508.396,
2010-10,8919.775,
2011-01,10119.613,
2011-04,7725.399,
2011-07,9188.630,
2011-10,9712.690,
2012-01,11377.970,
2012-04,8382.133,
2012-07,8335.003,
2012-10,8395.047,
2013-01,9534.784,
2013-04,9616.900,
2013-07,7962.622,
2013-10,9274.727,
2014-01,10875.796,Provisional value
2014-04,9079.291,Provisional value
2014-07,7995.771,Provisional value
