"",BBK01.OEAA29P,BBK01.OEAA29P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:58,
2002-01,2.901,
2002-04,2.920,
2002-07,2.925,
2002-10,2.948,
2003-01,2.897,
2003-04,2.922,
2003-07,2.971,
2003-10,3.002,
2004-01,2.998,
2004-04,2.993,
2004-07,2.982,
2004-10,2.984,
2005-01,2.955,
2005-04,2.984,
2005-07,2.975,
2005-10,2.944,
2006-01,2.949,
2006-04,2.944,
2006-07,2.942,
2006-10,2.985,
2007-01,2.974,
2007-04,2.979,
2007-07,2.983,
2007-10,3.054,
2008-01,3.055,
2008-04,3.067,
2008-07,3.085,
2008-10,3.064,
2009-01,3.028,
2009-04,3.075,
2009-07,3.118,
2009-10,3.133,
2010-01,3.141,
2010-04,3.168,
2010-07,3.137,
2010-10,3.123,
2011-01,3.072,
2011-04,3.072,
2011-07,3.056,
2011-10,3.031,
2012-01,3.013,
2012-04,3.350,
2012-07,3.374,
2012-10,3.376,
2013-01,3.341,
2013-04,3.343,
2013-07,3.222,
2013-10,3.274,
2014-01,3.244,
2014-04,3.216,
2014-07,3.240,
