"",BBK01.OEAF02K,BBK01.OEAF02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:58,
2002-01,42.466,
2002-04,42.610,
2002-07,43.906,
2002-10,44.309,
2003-01,43.102,
2003-04,39.444,
2003-07,40.688,
2003-10,40.063,
2004-01,41.702,
2004-04,42.696,
2004-07,43.192,
2004-10,45.135,
2005-01,44.019,
2005-04,44.149,
2005-07,44.338,
2005-10,44.314,
2006-01,43.750,
2006-04,43.576,
2006-07,43.197,
2006-10,42.953,
2007-01,41.342,
2007-04,40.921,
2007-07,39.822,
2007-10,39.267,
2008-01,38.717,
2008-04,38.214,
2008-07,37.778,
2008-10,37.623,
2009-01,37.041,
2009-04,38.029,
2009-07,38.013,
2009-10,37.437,
2010-01,37.039,
2010-04,36.326,
2010-07,36.110,
2010-10,36.281,
2011-01,35.567,
2011-04,35.498,
2011-07,35.293,
2011-10,35.153,
2012-01,34.831,
2012-04,34.729,
2012-07,34.367,
2012-10,34.136,
2013-01,34.089,
2013-04,33.908,
2013-07,33.346,
2013-10,33.135,
2014-01,32.996,
2014-04,32.926,
2014-07,32.752,
