"",BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / France / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:08,
1990-07,3557490,
1990-08,3042592,
1990-09,3358502,
1990-10,4245331,
1990-11,3879083,
1990-12,3288730,
1991-01,3946150,
1991-02,3670126,
1991-03,3708272,
1991-04,3755073,
1991-05,3725586,
1991-06,3708327,
1991-07,3899600,
1991-08,3266795,
1991-09,3504598,
1991-10,4083286,
1991-11,3883962,
1991-12,3830864,
1992-01,3788846,
1992-02,3524894,
1992-03,4350476,
1992-04,4186238,
1992-05,3457843,
1992-06,3384633,
1992-07,3820148,
1992-08,3094940,
1992-09,3804193,
1992-10,4322036,
1992-11,3579735,
1992-12,3411067,
1993-01,2995075,
1993-02,3875480,
1993-03,3290951,
1993-04,3359710,
1993-05,3363513,
1993-06,3571880,
1993-07,3201903,
1993-08,2846055,
1993-09,3301022,
1993-10,3335743,
1993-11,3508502,
1993-12,3083300,
1994-01,3269451,
1994-02,3431719,
1994-03,4066347,
1994-04,3617847,
1994-05,3465870,
1994-06,3561589,
1994-07,3396680,
1994-08,3169385,
1994-09,3635375,
1994-10,3781043,
1994-11,3572757,
1994-12,3745340,
1995-01,3850503,
1995-02,3772347,
1995-03,4029871,
1995-04,3659060,
1995-05,3737744,
1995-06,4164100,
1995-07,3464039,
1995-08,3270752,
1995-09,3940552,
1995-10,4119750,
1995-11,3896761,
1995-12,3503055,
1996-01,4095334,
1996-02,3654313,
1996-03,3758774,
1996-04,3885628,
1996-05,3597580,
1996-06,3867346,
1996-07,3900460,
1996-08,3166639,
1996-09,3564287,
1996-10,4012300,
1996-11,3661738,
1996-12,3783653,
1997-01,3710480,
1997-02,4020787,
1997-03,3944739,
1997-04,3807903,
1997-05,4089513,
1997-06,4300275,
1997-07,4186813,
1997-08,3267871,
1997-09,4095431,
1997-10,4329618,
1997-11,4433604,
1997-12,4089095,
1998-01,4271984,
1998-02,4450044,
1998-03,4552775,
1998-04,4894874,
1998-05,4263125,
1998-06,4945588,
1998-07,4718022,
1998-08,3586698,
1998-09,4364550,
1998-10,5067682,
1998-11,4844549,
1998-12,4186536,
1999-01,4552737,
1999-02,4955526,
1999-03,4710744,
1999-04,4891509,
1999-05,4656982,
1999-06,5453467,
1999-07,4925902,
1999-08,4321818,
1999-09,4887702,
1999-10,4920007,
1999-11,5369849,
1999-12,4931450,
2000-01,5145518,
2000-02,5397068,
2000-03,5606405,
2000-04,5406530,
2000-05,5969943,
2000-06,5450109,
2000-07,5631237,
2000-08,4825128,
2000-09,5450915,
2000-10,6540805,
2000-11,6672352,
2000-12,5321832,
