"",BBK01.OELL04T,BBK01.OELL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:03,
2002-01,0.299,
2002-04,0.304,
2002-07,0.288,
2002-10,0.323,
2003-01,0.355,
2003-04,0.328,
2003-07,0.368,
2003-10,0.345,
2004-01,0.377,
2004-04,0.339,
2004-07,0.337,
2004-10,0.371,
2005-01,0.370,
2005-04,0.349,
2005-07,0.358,
2005-10,0.333,
2006-01,0.388,
2006-04,0.372,
2006-07,0.367,
2006-10,0.346,
2007-01,0.393,
2007-04,0.388,
2007-07,0.394,
2007-10,0.376,
2008-01,0.415,
2008-04,0.410,
2008-07,0.308,
2008-10,0.355,
2009-01,0.480,
2009-04,0.336,
2009-07,0.315,
2009-10,0.286,
2010-01,0.267,
2010-04,0.264,
2010-07,0.255,
2010-10,0.253,
2011-01,0.255,
2011-04,0.244,
2011-07,0.239,
2011-10,0.234,
2012-01,0.232,
2012-04,0.218,
2012-07,0.211,
2012-10,0.199,
2013-01,0.145,
2013-04,0.139,
2013-07,0.136,
2013-10,0.125,
2014-01,0.127,
2014-04,0.124,
2014-07,0.124,
