"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Slovenia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:04,
2009-09,153,
2009-10,149,
2009-11,152,
2009-12,148,
2010-01,177,
2010-02,169,
2010-03,181,
2010-04,190,
2010-05,190,
2010-06,189,
2010-07,185,
2010-08,190,
2010-09,189,
2010-10,171,
2010-11,166,
2010-12,154,
2011-01,155,
2011-02,158,
2011-03,161,
2011-04,162,
2011-05,164,
2011-06,140,
2011-07,111,
2011-08,100,
2011-09,93,
2011-10,86,
2011-11,68,
2011-12,72,
2012-01,64,
2012-02,57,
2012-03,59,
2012-04,59,
2012-05,60,
2012-06,56,
2012-07,34,
2012-08,22,
2012-09,28,
2012-10,34,
2012-11,37,
2012-12,39,
2013-01,41,
2013-02,44,
2013-03,37,
2013-04,62,
2013-05,79,
2013-06,76,
2013-07,79,
2013-08,82,
2013-09,86,
2013-10,99,
2013-11,106,
2013-12,124,
2014-01,119,
2014-02,135,
2014-03,132,
2014-04,196,
2014-05,184,
2014-06,191,
2014-07,194,
2014-08,200,
2014-09,196,
2014-10,257,
2014-11,271,
