"",BBK01.OEAA22M,BBK01.OEAA22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:46,
2002-01,7.192,
2002-04,6.982,
2002-07,6.887,
2002-10,7.111,
2003-01,7.477,
2003-04,7.824,
2003-07,8.020,
2003-10,7.903,
2004-01,7.866,
2004-04,7.871,
2004-07,7.968,
2004-10,7.528,
2005-01,7.564,
2005-04,6.433,
2005-07,6.561,
2005-10,6.363,
2006-01,6.238,
2006-04,6.123,
2006-07,6.123,
2006-10,6.601,
2007-01,6.600,
2007-04,6.443,
2007-07,7.691,
2007-10,8.475,
2008-01,8.275,
2008-04,8.395,
2008-07,8.505,
2008-10,8.054,
2009-01,8.009,
2009-04,8.157,
2009-07,8.325,
2009-10,8.421,
2010-01,8.673,
2010-04,8.893,
2010-07,9.230,
2010-10,9.264,
2011-01,9.134,
2011-04,9.019,
2011-07,9.331,
2011-10,9.825,
2012-01,9.662,
2012-04,10.174,
2012-07,10.368,
2012-10,10.569,
2013-01,10.492,
2013-04,10.752,
2013-07,10.657,
2013-10,10.754,
2014-01,10.588,
2014-04,10.610,
2014-07,10.450,
