"",BBK01.OEAA06M,BBK01.OEAA06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:40,
2002-01,25.046,
2002-04,24.778,
2002-07,25.083,
2002-10,25.350,
2003-01,25.515,
2003-04,26.571,
2003-07,27.446,
2003-10,27.296,
2004-01,27.266,
2004-04,27.370,
2004-07,27.275,
2004-10,25.392,
2005-01,26.783,
2005-04,26.052,
2005-07,25.362,
2005-10,24.970,
2006-01,24.991,
2006-04,25.924,
2006-07,26.318,
2006-10,26.876,
2007-01,26.720,
2007-04,25.767,
2007-07,27.266,
2007-10,28.946,
2008-01,27.832,
2008-04,29.289,
2008-07,29.812,
2008-10,29.548,
2009-01,30.619,
2009-04,31.870,
2009-07,33.324,
2009-10,34.283,
2010-01,34.939,
2010-04,35.165,
2010-07,35.487,
2010-10,35.735,
2011-01,34.367,
2011-04,33.643,
2011-07,34.304,
2011-10,35.662,
2012-01,36.455,
2012-04,37.848,
2012-07,38.464,
2012-10,39.068,
2013-01,37.938,
2013-04,38.709,
2013-07,38.172,
2013-10,38.442,
2014-01,38.567,
2014-04,37.537,
2014-07,38.116,
