"",BBDL1.M.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A,BBDL1.M.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A_FLAGS
"",Employed persons according to ESA 2010 / Germany / Domestic concept / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:09,
1991-01,39214,
1991-02,39111,
1991-03,38979,
1991-04,38977,
1991-05,38943,
1991-06,38827,
1991-07,38711,
1991-08,38560,
1991-09,38521,
1991-10,38546,
1991-11,38559,
1991-12,38538,
1992-01,38530,
1992-02,38497,
1992-03,38449,
1992-04,38414,
1992-05,38389,
1992-06,38345,
1992-07,38288,
1992-08,38212,
1992-09,38141,
1992-10,38083,
1992-11,38036,
1992-12,38006,
1993-01,38004,
1993-02,37977,
1993-03,37922,
1993-04,37867,
1993-05,37791,
1993-06,37763,
1993-07,37727,
1993-08,37701,
1993-09,37692,
1993-10,37658,
1993-11,37643,
1993-12,37672,
1994-01,37749,
1994-02,37778,
1994-03,37757,
1994-04,37717,
1994-05,37739,
1994-06,37757,
1994-07,37753,
1994-08,37799,
1994-09,37842,
1994-10,37859,
1994-11,37881,
1994-12,37905,
1995-01,37914,
1995-02,37911,
1995-03,37940,
1995-04,37982,
1995-05,37920,
1995-06,37935,
1995-07,37947,
1995-08,37932,
1995-09,37952,
1995-10,37995,
1995-11,37998,
1995-12,38027,
1996-01,37998,
1996-02,37978,
1996-03,37915,
1996-04,37988,
1996-05,38063,
1996-06,38011,
1996-07,38000,
1996-08,37969,
1996-09,37925,
1996-10,37911,
1996-11,37925,
1996-12,37914,
1997-01,37830,
1997-02,37873,
1997-03,37884,
1997-04,37921,
1997-05,37926,
1997-06,37939,
1997-07,37970,
1997-08,38008,
1997-09,37997,
1997-10,38015,
1997-11,38009,
1997-12,37970,
1998-01,38018,
1998-02,38074,
1998-03,38156,
1998-04,38236,
1998-05,38297,
1998-06,38360,
1998-07,38446,
1998-08,38539,
1998-09,38631,
1998-10,38688,
1998-11,38699,
1998-12,38719,
1999-01,38763,
1999-02,38777,
1999-03,38798,
1999-04,38659,
1999-05,38779,
1999-06,38967,
1999-07,39049,
1999-08,39163,
1999-09,39221,
1999-10,39274,
1999-11,39364,
1999-12,39536,
2000-01,39719,
2000-02,39795,
2000-03,39864,
2000-04,39890,
2000-05,39920,
2000-06,39948,
2000-07,39986,
2000-08,39983,
2000-09,39973,
2000-10,39967,
2000-11,39975,
2000-12,39985,
2001-01,39882,
2001-02,39867,
2001-03,39849,
2001-04,39864,
2001-05,39871,
2001-06,39803,
2001-07,39774,
2001-08,39759,
2001-09,39731,
2001-10,39746,
2001-11,39768,
2001-12,39788,
2002-01,39806,
2002-02,39798,
2002-03,39774,
2002-04,39772,
2002-05,39749,
2002-06,39651,
2002-07,39634,
2002-08,39563,
2002-09,39527,
2002-10,39473,
2002-11,39420,
2002-12,39385,
2003-01,39343,
2003-02,39331,
2003-03,39257,
2003-04,39166,
2003-05,39128,
2003-06,39171,
2003-07,39218,
2003-08,39146,
2003-09,39138,
2003-10,39169,
2003-11,39149,
2003-12,39166,
2004-01,39252,
2004-02,39266,
2004-03,39325,
2004-04,39392,
2004-05,39371,
2004-06,39377,
2004-07,39358,
2004-08,39350,
2004-09,39361,
2004-10,39351,
2004-11,39332,
2004-12,39292,
2005-01,39263,
2005-02,39262,
2005-03,39234,
2005-04,39221,
2005-05,39241,
2005-06,39289,
2005-07,39280,
2005-08,39347,
2005-09,39410,
2005-10,39430,
2005-11,39460,
2005-12,39468,
2006-01,39298,
2006-02,39309,
2006-03,39330,
2006-04,39424,
2006-05,39565,
2006-06,39683,
2006-07,39732,
2006-08,39767,
2006-09,39790,
2006-10,39816,
2006-11,39905,
2006-12,39990,
2007-01,40049,
2007-02,40125,
2007-03,40164,
2007-04,40240,
2007-05,40279,
2007-06,40308,
2007-07,40356,
2007-08,40401,
2007-09,40419,
2007-10,40503,
2007-11,40528,
2007-12,40539,
2008-01,40704,
2008-02,40750,
2008-03,40779,
2008-04,40788,
2008-05,40794,
2008-06,40827,
2008-07,40882,
2008-08,40883,
2008-09,40937,
2008-10,40982,
2008-11,40977,
2008-12,40986,
2009-01,41025,
2009-02,41039,
2009-03,40994,
2009-04,40967,
2009-05,40898,
2009-06,40841,
2009-07,40829,
2009-08,40828,
2009-09,40840,
2009-10,40809,
2009-11,40819,
2009-12,40846,
2010-01,40800,
2010-02,40790,
2010-03,40857,
2010-04,40927,
2010-05,40977,
2010-06,41023,
2010-07,41033,
2010-08,41077,
2010-09,41119,
2010-10,41154,
2010-11,41212,
2010-12,41273,
2011-01,41304,
2011-02,41373,
2011-03,41424,
2011-04,41479,
2011-05,41523,
2011-06,41579,
2011-07,41579,
2011-08,41641,
2011-09,41672,
2011-10,41700,
2011-11,41755,
2011-12,41814,
2012-01,41900,
2012-02,41902,
2012-03,41940,
2012-04,41953,
2012-05,41987,
2012-06,42006,
2012-07,42047,
2012-08,42081,
2012-09,42098,
2012-10,42144,
2012-11,42169,
2012-12,42170,
2013-01,42172,
2013-02,42198,
2013-03,42187,
2013-04,42197,
2013-05,42244,
2013-06,42256,
2013-07,42309,
2013-08,42332,
2013-09,42344,
2013-10,42356,
2013-11,42377,
2013-12,42404,
2014-01,42439,
2014-02,42497,
2014-03,42545,
2014-04,42599,
2014-05,42611,
2014-06,42653,
2014-07,42690,
2014-08,42688,
2014-09,42725,
2014-10,42771,
2014-11,42786,
2014-12,42811,
2015-01,42853,
