"",BBK01.OEBB19L,BBK01.OEBB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:22,
2002-01,2.206,
2002-04,2.155,
2002-07,2.193,
2002-10,2.294,
2003-01,2.887,
2003-04,2.942,
2003-07,2.924,
2003-10,3.018,
2004-01,3.167,
2004-04,3.401,
2004-07,3.578,
2004-10,3.671,
2005-01,3.683,
2005-04,3.803,
2005-07,3.847,
2005-10,3.505,
2006-01,3.548,
2006-04,3.996,
2006-07,4.044,
2006-10,4.063,
2007-01,4.021,
2007-04,4.131,
2007-07,4.169,
2007-10,4.158,
2008-01,4.200,
2008-04,4.410,
2008-07,4.284,
2008-10,4.078,
2009-01,5.532,
2009-04,5.384,
2009-07,5.553,
2009-10,6.341,
2010-01,6.441,
2010-04,6.534,
2010-07,6.175,
2010-10,6.226,
2011-01,6.328,
2011-04,6.026,
2011-07,6.374,
2011-10,6.427,
2012-01,5.915,
2012-04,6.074,
2012-07,6.340,
2012-10,6.306,
2013-01,6.272,
2013-04,6.328,
2013-07,6.439,
2013-10,6.422,
2014-01,6.326,
2014-04,6.163,
2014-07,6.146,
