"",BBK01.OEAE03G,BBK01.OEAE03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:48,
2002-01,5.302,
2002-04,5.774,
2002-07,5.609,
2002-10,6.392,
2003-01,6.271,
2003-04,6.827,
2003-07,6.800,
2003-10,6.322,
2004-01,6.483,
2004-04,6.859,
2004-07,6.638,
2004-10,6.431,
2005-01,6.488,
2005-04,5.953,
2005-07,5.920,
2005-10,5.717,
2006-01,5.588,
2006-04,6.040,
2006-07,5.294,
2006-10,5.295,
2007-01,5.589,
2007-04,5.794,
2007-07,6.190,
2007-10,6.672,
2008-01,7.152,
2008-04,7.489,
2008-07,8.498,
2008-10,7.858,
2009-01,10.042,
2009-04,10.021,
2009-07,10.041,
2009-10,7.965,
2010-01,8.722,
2010-04,8.517,
2010-07,10.247,
2010-10,10.184,
2011-01,10.237,
2011-04,9.293,
2011-07,9.061,
2011-10,8.750,
2012-01,7.993,
2012-04,8.000,
2012-07,7.659,
2012-10,7.184,
2013-01,6.991,
2013-04,6.822,
2013-07,6.129,
2013-10,5.960,
2014-01,6.040,
2014-04,6.121,
2014-07,6.003,
