"",BBK01.OECB05U,BBK01.OECB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:12,
2002-01,3.952,
2002-04,3.910,
2002-07,3.822,
2002-10,3.825,
2003-01,3.635,
2003-04,3.586,
2003-07,3.517,
2003-10,3.563,
2004-01,3.515,
2004-04,3.465,
2004-07,3.445,
2004-10,3.300,
2005-01,3.923,
2005-04,3.841,
2005-07,3.857,
2005-10,3.754,
2006-01,3.735,
2006-04,3.696,
2006-07,3.711,
2006-10,3.691,
2007-01,3.656,
2007-04,3.660,
2007-07,3.639,
2007-10,3.660,
2008-01,3.682,
2008-04,3.677,
2008-07,3.662,
2008-10,3.620,
2009-01,3.614,
2009-04,4.395,
2009-07,4.362,
2009-10,4.210,
2010-01,4.218,
2010-04,4.174,
2010-07,4.178,
2010-10,4.045,
2011-01,4.125,
2011-04,4.099,
2011-07,4.056,
2011-10,3.957,
2012-01,3.988,
2012-04,3.945,
2012-07,3.932,
2012-10,3.879,
2013-01,3.947,
2013-04,3.930,
2013-07,4.150,
2013-10,4.154,
2014-01,4.142,
2014-04,4.130,
2014-07,4.140,
