"",BBK01.CEBE0X,BBK01.CEBE0X_FLAGS
"",short-term loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:20,
1991-01,4.1,
1991-04,4.0,
1991-07,4.4,
1991-10,4.9,
1992-01,5.1,
1992-04,5.4,
1992-07,6.0,
1992-10,4.7,
1993-01,6.3,
1993-04,6.0,
1993-07,6.2,
1993-10,6.6,
1994-01,8.4,
1994-04,9.5,
1994-07,9.7,
1994-10,9.4,
1995-01,10.1,
1995-04,9.8,
1995-07,10.3,
1995-10,11.9,
1996-01,14.5,
1996-04,15.2,
1996-07,16.4,
1996-10,23.1,
1997-01,31.5,
1997-04,31.9,
1997-07,28.7,
1997-10,26.9,
1998-01,40.7,
1998-04,40.3,
1998-07,35.6,
1998-10,33.5,
1999-01,46.0,
1999-04,61.7,
1999-07,47.4,
1999-10,50.0,
2000-01,74.1,
2000-04,90.6,
2000-07,74.7,
2000-10,69.4,
2001-01,105.7,
2001-04,103.9,
2001-07,83.2,
2001-10,73.8,
2002-01,67.7,
2002-04,57.2,
2002-07,64.4,
2002-10,62.1,
2003-01,72.1,
2003-04,72.6,
2003-07,69.4,
2003-10,63.4,
2004-01,72.5,
2004-04,75.4,
2004-07,72.7,
2004-10,64.4,
2005-01,72.6,
2005-04,71.6,
2005-07,84.1,
2005-10,79.6,
2006-01,93.5,
2006-04,94.0,
2006-07,95.1,
2006-10,84.3,
2007-01,89.7,
2007-04,100.3,
2007-07,91.5,
2007-10,83.4,
2008-01,90.9,
2008-04,96.4,
2008-07,93.4,
2008-10,102.6,
2009-01,90.2,
2009-04,94.4,
2009-07,85.9,
2009-10,93.7,
2010-01,94.8,
2010-04,101.4,
2010-07,100.3,
2010-10,102.7,
2011-01,110.6,
2011-04,109.6,
2011-07,126.0,
2011-10,110.0,
2012-01,121.0,
2012-04,112.9,
2012-07,107.8,
2012-10,117.8,
2013-01,114.8,
2013-04,135.0,
2013-07,107.4,
2013-10,99.8,
2014-01,108.1,
