"",BBK01.OXA8Q4,BBK01.OXA8Q4_FLAGS
"","Stocks of loans to domestic non-financial corporations (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:31,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,10.339,
2010-07,11.280,
2010-08,10.627,
2010-09,9.817,
2010-10,11.092,
2010-11,10.857,
2010-12,9.958,
2011-01,9.609,
2011-02,9.233,
2011-03,8.504,
2011-04,8.326,
2011-05,7.968,
2011-06,7.348,
2011-07,8.045,
2011-08,7.822,
2011-09,7.264,
2011-10,7.965,
2011-11,7.836,
2011-12,7.236,
2012-01,8.063,
2012-02,7.861,
2012-03,7.173,
2012-04,7.970,
2012-05,7.681,
2012-06,7.120,
2012-07,6.018,
2012-08,5.912,
2012-09,5.756,
2012-10,3.576,
2012-11,3.593,
2012-12,3.472,
2013-01,3.548,
2013-02,4.342,
2013-03,4.141,
2013-04,4.087,
2013-05,4.145,
2013-06,4.159,
2013-07,4.064,
2013-08,4.010,
2013-09,3.866,
2013-10,3.947,
2013-11,3.839,
2013-12,3.645,
2014-01,3.766,
2014-02,3.373,
2014-03,3.153,
2014-04,2.769,
2014-05,2.632,
2014-06,2.518,
2014-07,2.480,
2014-08,2.443,
2014-09,2.336,
2014-10,2.308,
2014-11,2.277,
2014-12,2.573,Provisional value
