"",BBSF2.M.1.S.I0015.IMM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.IMM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:27,
2009-09,0,
2009-10,3,
2009-11,14,
2009-12,20,
2010-01,-,Nothing exists
2010-02,15,
2010-03,-,Nothing exists
2010-04,3,
2010-05,16,
2010-06,-,Nothing exists
2010-07,19,
2010-08,34,
2010-09,11,
2010-10,-,Nothing exists
2010-11,13,
2010-12,17,
2011-01,17,
2011-02,1,
2011-03,35,
2011-04,10,
2011-05,-,Nothing exists
2011-06,0,
2011-07,66,
2011-08,4,
2011-09,1,
2011-10,42,
2011-11,18,
2011-12,58,
2012-01,15,
2012-02,1,
2012-03,16,
2012-04,6,
2012-05,6,
2012-06,16,
2012-07,2,
2012-08,125,
2012-09,87,
2012-10,126,
2012-11,29,
2012-12,36,
2013-01,11,
2013-02,4,
2013-03,5,
2013-04,2,
2013-05,3,
2013-06,5,
2013-07,12,
2013-08,3,
2013-09,11,
2013-10,7,
2013-11,24,
2013-12,39,
2014-01,12,
2014-02,13,
2014-03,7,
2014-04,39,
2014-05,42,
2014-06,6,
2014-07,17,
2014-08,17,
2014-09,16,
2014-10,18,
2014-11,41,
