"",BBK01.OEAC13T,BBK01.OEAC13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:00,
2002-01,1.742,
2002-04,1.726,
2002-07,1.735,
2002-10,1.703,
2003-01,1.765,
2003-04,1.781,
2003-07,1.211,
2003-10,1.207,
2004-01,1.210,
2004-04,1.244,
2004-07,1.225,
2004-10,1.179,
2005-01,1.192,
2005-04,1.119,
2005-07,1.131,
2005-10,1.120,
2006-01,1.115,
2006-04,1.111,
2006-07,1.112,
2006-10,1.135,
2007-01,1.133,
2007-04,1.180,
2007-07,1.239,
2007-10,1.245,
2008-01,1.129,
2008-04,1.164,
2008-07,1.268,
2008-10,1.264,
2009-01,1.268,
2009-04,0.951,
2009-07,0.949,
2009-10,0.933,
2010-01,0.926,
2010-04,0.905,
2010-07,0.927,
2010-10,0.937,
2011-01,0.943,
2011-04,0.955,
2011-07,0.949,
2011-10,0.954,
2012-01,0.996,
2012-04,1.019,
2012-07,1.031,
2012-10,1.014,
2013-01,1.001,
2013-04,1.244,
2013-07,1.165,
2013-10,1.102,
2014-01,1.007,
2014-04,0.985,
2014-07,1.087,
