"",BBK01.OEAI10S,BBK01.OEAI10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:09,
2002-01,1.833,
2002-04,1.846,
2002-07,1.884,
2002-10,1.919,
2003-01,1.928,
2003-04,1.943,
2003-07,1.957,
2003-10,1.973,
2004-01,1.975,
2004-04,1.982,
2004-07,2.001,
2004-10,4.027,
2005-01,4.004,
2005-04,3.991,
2005-07,3.994,
2005-10,3.976,
2006-01,3.956,
2006-04,3.923,
2006-07,3.914,
2006-10,3.947,
2007-01,3.921,
2007-04,3.841,
2007-07,3.813,
2007-10,3.800,
2008-01,3.754,
2008-04,3.715,
2008-07,3.688,
2008-10,3.640,
2009-01,3.609,
2009-04,3.586,
2009-07,3.555,
2009-10,3.537,
2010-01,3.512,
2010-04,3.479,
2010-07,3.426,
2010-10,3.371,
2011-01,3.341,
2011-04,3.319,
2011-07,3.296,
2011-10,3.275,
2012-01,3.254,
2012-04,3.229,
2012-07,3.199,
2012-10,3.185,
2013-01,3.162,
2013-04,3.118,
2013-07,3.090,
2013-10,3.064,
2014-01,3.040,
2014-04,3.002,
2014-07,2.942,
