"",BBK01.OEXI04Q,BBK01.OEXI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:51,
2002-01,1.269,
2002-04,1.304,
2002-07,1.349,
2002-10,1.325,
2003-01,1.120,
2003-04,1.050,
2003-07,0.969,
2003-10,1.157,
2004-01,1.249,
2004-04,1.201,
2004-07,1.552,
2004-10,0.898,
2005-01,0.797,
2005-04,0.795,
2005-07,0.869,
2005-10,0.988,
2006-01,1.261,
2006-04,1.488,
2006-07,1.789,
2006-10,2.021,
2007-01,2.044,
2007-04,2.063,
2007-07,2.121,
2007-10,2.324,
2008-01,2.513,
2008-04,2.600,
2008-07,2.811,
2008-10,2.570,
2009-01,1.855,
2009-04,1.403,
2009-07,1.176,
2009-10,0.808,
2010-01,0.722,
2010-04,0.686,
2010-07,0.640,
2010-10,0.643,
2011-01,0.629,
2011-04,0.619,
2011-07,0.690,
2011-10,0.682,
2012-01,0.738,
2012-04,0.612,
2012-07,0.540,
2012-10,0.581,
2013-01,0.566,
2013-04,0.558,
2013-07,0.591,
2013-10,0.656,
2014-01,0.640,
2014-04,0.636,
2014-07,0.634,
