"",BBK01.OEYM01T,BBK01.OEYM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:35,
2002-01,0.011,
2002-04,0.014,
2002-07,0.015,
2002-10,0.016,
2003-01,0.010,
2003-04,0.013,
2003-07,0.019,
2003-10,0.021,
2004-01,0.046,
2004-04,0.017,
2004-07,0.008,
2004-10,0.126,
2005-01,0.079,
2005-04,0.076,
2005-07,0.062,
2005-10,0.100,
2006-01,0.056,
2006-04,0.230,
2006-07,0.053,
2006-10,0.134,
2007-01,0.068,
2007-04,0.065,
2007-07,0.062,
2007-10,0.124,
2008-01,0.108,
2008-04,0.197,
2008-07,0.123,
2008-10,0.113,
2009-01,0.079,
2009-04,0.083,
2009-07,0.079,
2009-10,0.110,
2010-01,0.157,
2010-04,0.089,
2010-07,0.084,
2010-10,0.176,
2011-01,0.069,
2011-04,0.084,
2011-07,0.342,
2011-10,0.125,
2012-01,0.373,
2012-04,0.077,
2012-07,0.334,
2012-10,0.355,
2013-01,0.105,
2013-04,0.097,
2013-07,0.106,
2013-10,0.190,
2014-01,0.144,
2014-04,0.172,
2014-07,0.149,
