"",BBFB1.Q.N.DE.GB.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:12,
1991-01,2019.585,
1991-04,2398.138,
1991-07,2255.238,
1991-10,2112.863,
1992-01,2277.064,
1992-04,2609.034,
1992-07,2539.826,
1992-10,2396.688,
1993-01,2738.386,
1993-04,2866.323,
1993-07,2627.653,
1993-10,2456.490,
1994-01,2241.175,
1994-04,2476.942,
1994-07,2392.854,
1994-10,2468.624,
1995-01,2691.652,
1995-04,3015.778,
1995-07,2822.722,
1995-10,2623.675,
1996-01,2417.788,
1996-04,2722.697,
1996-07,3255.030,
1996-10,3035.044,
1997-01,3456.523,
1997-04,4406.066,
1997-07,3688.660,
1997-10,3738.301,
1998-01,3961.333,
1998-04,4977.119,
1998-07,4595.240,
1998-10,4088.854,
1999-01,4409.971,
1999-04,5663.495,
1999-07,5137.313,
1999-10,5682.651,
2000-01,6175.536,
2000-04,7782.992,
2000-07,7152.305,
2000-10,7193.041,
2001-01,4962.779,
2001-04,4526.228,
2001-07,3644.891,
2001-10,3395.170,
2002-01,5420.197,
2002-04,6332.790,
2002-07,5614.862,
2002-10,5402.915,
2003-01,4405.364,
2003-04,5813.726,
2003-07,4561.463,
2003-10,4562.852,
2004-01,5440.437,
2004-04,7234.591,
2004-07,5234.949,
2004-10,5179.124,
2005-01,5791.512,
2005-04,7599.920,
2005-07,5661.180,
2005-10,5737.476,
2006-01,6885.689,
2006-04,9558.241,
2006-07,7274.745,
2006-10,7969.110,
2007-01,9412.684,
2007-04,15652.863,
2007-07,9204.717,
2007-10,8199.358,
2008-01,7137.533,
2008-04,13166.831,
2008-07,6630.308,
2008-10,5026.144,
2009-01,4466.477,
2009-04,8235.392,
2009-07,3040.250,
2009-10,2818.451,
2010-01,3780.006,
2010-04,7581.881,
2010-07,3650.139,
2010-10,3682.504,
2011-01,3837.142,
2011-04,7285.807,
2011-07,3509.361,
2011-10,3242.736,
2012-01,3657.579,
2012-04,7018.225,
2012-07,2789.364,
2012-10,2825.463,
2013-01,2943.998,
2013-04,4323.347,
2013-07,2620.391,
2013-10,2500.909,
2014-01,2686.099,Provisional value
2014-04,7072.432,Provisional value
2014-07,2593.517,Provisional value
