"",BBDA1.M.DE.N.IM.S.A.A1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.A1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / America / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:42,
1993-01,2016187,
1993-02,2456868,
1993-03,2800358,
1993-04,2556586,
1993-05,2317479,
1993-06,2444565,
1993-07,2337696,
1993-08,2346907,
1993-09,2301062,
1993-10,2467942,
1993-11,2370664,
1993-12,2642656,
1994-01,2539480,
1994-02,2369057,
1994-03,2933568,
1994-04,2611751,
1994-05,2723693,
1994-06,2856732,
1994-07,2664595,
1994-08,2534317,
1994-09,2535967,
1994-10,2837143,
1994-11,2707828,
1994-12,3089992,
1995-01,2530348,
1995-02,2802113,
1995-03,3083499,
1995-04,2599219,
1995-05,2955542,
1995-06,2777480,
1995-07,2607196,
1995-08,2682258,
1995-09,2735120,
1995-10,2961725,
1995-11,2889666,
1995-12,2927723,
1996-01,2634788,
1996-02,2805843,
1996-03,3052797,
1996-04,2950759,
1996-05,3033359,
1996-06,3000022,
1996-07,3047087,
1996-08,2790001,
1996-09,2912670,
1996-10,3087092,
1996-11,3020209,
1996-12,2750904,
1997-01,3223686,
1997-02,2880008,
1997-03,3177174,
1997-04,4102385,
1997-05,3400468,
1997-06,3436407,
1997-07,3677475,
1997-08,3137414,
1997-09,3685663,
1997-10,3830341,
1997-11,3560247,
1997-12,3307079,
1998-01,3629868,
1998-02,3660364,
1998-03,4154296,
1998-04,4015569,
1998-05,3668309,
1998-06,4033108,
1998-07,4013156,
1998-08,3567074,
1998-09,3819614,
1998-10,4015085,
1998-11,3649329,
1998-12,4241993,
1999-01,3291068,
1999-02,3847565,
1999-03,4243513,
1999-04,4338704,
1999-05,3975897,
1999-06,4270334,
1999-07,4080689,
1999-08,3885731,
1999-09,4121104,
1999-10,3997721,
1999-11,4000034,
1999-12,4095216,
2000-01,4243898,
2000-02,4204221,
2000-03,5460879,
2000-04,4639988,
2000-05,5715124,
2000-06,5111893,
2000-07,4871121,
2000-08,5016260,
2000-09,4799254,
2000-10,5579347,
2000-11,5690184,
2000-12,5533299,
2001-01,5491717,
2001-02,5152793,
2001-03,5387514,
2001-04,5047010,
2001-05,5439303,
2001-06,5292681,
2001-07,5056775,
2001-08,4978508,
2001-09,4111336,
2001-10,4879314,
2001-11,4782735,
2001-12,3954934,
2002-01,4150792,
2002-02,4007188,
2002-03,4639171,
2002-04,5348552,
2002-05,4097998,
2002-06,4871795,
2002-07,4157301,
2002-08,4455646,
2002-09,4020029,
2002-10,4584742,
2002-11,4797617,
2002-12,3691246,
2003-01,4651470,
2003-02,4140956,
2003-03,4533068,
2003-04,4667997,
2003-05,4314885,
2003-06,4531256,
2003-07,4260975,
2003-08,4282850,
2003-09,4216694,
2003-10,4359413,
2003-11,4176691,
2003-12,3811676,
2004-01,4087664,
2004-02,3783285,
2004-03,4480749,
2004-04,4798723,
2004-05,4774286,
2004-06,4985949,
2004-07,4731705,
2004-08,4428270,
2004-09,4635175,
2004-10,4756566,
2004-11,4751299,
2004-12,4465205,
2005-01,4299439,
2005-02,4276090,
2005-03,4184930,
2005-04,5247990,
2005-05,4769575,
2005-06,5248360,
2005-07,4689912,
2005-08,5235170,
2005-09,4928919,
2005-10,5539052,
2005-11,5053046,
2005-12,5101379,
2006-01,5379822,
2006-02,5539790,
2006-03,5825891,
2006-04,5740667,
2006-05,5766736,
2006-06,6189083,
2006-07,6120503,
2006-08,6412775,
2006-09,6048987,
2006-10,7014071,
2006-11,5856427,
2006-12,6268399,
2007-01,5823525,
2007-02,6204900,
2007-03,5756014,
2007-04,6139979,
2007-05,5792277,
2007-06,6159121,
2007-07,5403193,
2007-08,6365957,
2007-09,5871528,
2007-10,6073541,
2007-11,5968982,
2007-12,5716584,
2008-01,5933519,
2008-02,5614296,
2008-03,5936032,
2008-04,6464571,
2008-05,5852458,
2008-06,6206850,
2008-07,6566084,
2008-08,5954849,
2008-09,6402266,
2008-10,6377708,
2008-11,6136590,
2008-12,6438301,
2009-01,5463302,
2009-02,5222247,
2009-03,5901091,
2009-04,5073420,
2009-05,4750682,
2009-06,4922592,
2009-07,4840573,
2009-08,4581230,
2009-09,4850936,
2009-10,4969495,
2009-11,5057274,
2009-12,4865076,
2010-01,5248634,
2010-02,4618912,
2010-03,6143780,
2010-04,5562602,
2010-05,5574248,
2010-06,6496485,
2010-07,6479428,
2010-08,6132529,
2010-09,6177210,
2010-10,6239803,
2010-11,6797308,
2010-12,6208815,
2011-01,6236035,
2011-02,6219060,
2011-03,6942383,
2011-04,6501199,
2011-05,7505526,
2011-06,6709528,
2011-07,6318586,
2011-08,6756222,
2011-09,6594821,
2011-10,7095318,
2011-11,7076904,
2011-12,6612859,
2012-01,6135515,
2012-02,6312725,
2012-03,7296314,
2012-04,6723609,
2012-05,6920492,
2012-06,6989857,
2012-07,7112994,
2012-08,7085111,
2012-09,6244462,
2012-10,7246537,
2012-11,6508942,
2012-12,5972094,
2013-01,6534639,
2013-02,5566366,
2013-03,6608276,
2013-04,6516239,
2013-05,6526419,
2013-06,6225501,
2013-07,6373860,
2013-08,5764573,
2013-09,5949930,
2013-10,6975484,
2013-11,6383172,
2013-12,5598285,
2014-01,5791298,
2014-02,5994757,
2014-03,6390525,
2014-04,6353213,
2014-05,6060293,
2014-06,6592139,
2014-07,6068615,
2014-08,6081698,
2014-09,6139879,
2014-10,6618760,
2014-11,5817876,
2014-12,5806196,
