"",BBFB1.Q.N.DE.B2.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:39,
1991-01,6064.493,
1991-04,5126.858,
1991-07,6310.577,
1991-10,6218.276,
1992-01,8064.008,
1992-04,6334.675,
1992-07,8475.904,
1992-10,5037.399,
1993-01,8392.815,
1993-04,7311.020,
1993-07,6306.562,
1993-10,6347.417,
1994-01,8673.131,
1994-04,8236.178,
1994-07,7678.831,
1994-10,7460.632,
1995-01,8724.892,
1995-04,9106.194,
1995-07,9215.287,
1995-10,9452.931,
1996-01,10041.237,
1996-04,8267.747,
1996-07,8788.492,
1996-10,8590.736,
1997-01,8342.607,
1997-04,9367.637,
1997-07,8603.436,
1997-10,9581.732,
1998-01,10311.336,
1998-04,11024.433,
1998-07,10354.608,
1998-10,11973.744,
1999-01,12919.144,
1999-04,11944.265,
1999-07,12083.640,
1999-10,15613.165,
2000-01,18873.401,
2000-04,17027.859,
2000-07,12939.852,
2000-10,14681.384,
2001-01,21235.869,
2001-04,16533.697,
2001-07,18463.381,
2001-10,19952.153,
2002-01,25526.102,
2002-04,25112.386,
2002-07,24106.983,
2002-10,24791.474,
2003-01,25941.233,
2003-04,22353.921,
2003-07,25834.324,
2003-10,27882.800,
2004-01,30377.500,
2004-04,31065.136,
2004-07,26948.217,
2004-10,28065.851,
2005-01,31453.460,
2005-04,30783.574,
2005-07,28175.399,
2005-10,28145.085,
2006-01,34250.397,
2006-04,31167.044,
2006-07,28046.504,
2006-10,29203.642,
2007-01,41524.351,
2007-04,38636.071,
2007-07,36111.385,
2007-10,39115.034,
2008-01,40071.695,
2008-04,38269.676,
2008-07,30503.864,
2008-10,24755.630,
2009-01,25559.803,
2009-04,25424.154,
2009-07,26162.947,
2009-10,27710.525,
2010-01,28245.266,
2010-04,27865.323,
2010-07,25833.139,
2010-10,28305.967,
2011-01,31239.808,
2011-04,25282.743,
2011-07,25808.909,
2011-10,23511.650,
2012-01,29953.773,
2012-04,26203.601,
2012-07,24371.442,
2012-10,22200.837,
2013-01,27961.977,
2013-04,26262.617,
2013-07,23883.744,
2013-10,23276.391,
2014-01,31072.471,Provisional value
2014-04,27588.294,Provisional value
2014-07,29476.128,Provisional value
