"",BBK01.OEAC51T,BBK01.OEAC51T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:08,
2002-01,0.235,
2002-04,0.245,
2002-07,0.256,
2002-10,0.258,
2003-01,0.257,
2003-04,0.258,
2003-07,0.264,
2003-10,0.269,
2004-01,0.274,
2004-04,0.278,
2004-07,0.280,
2004-10,0.282,
2005-01,0.284,
2005-04,0.285,
2005-07,0.291,
2005-10,0.301,
2006-01,0.311,
2006-04,0.320,
2006-07,0.333,
2006-10,0.344,
2007-01,0.350,
2007-04,0.358,
2007-07,0.372,
2007-10,0.385,
2008-01,0.390,
2008-04,0.396,
2008-07,0.413,
2008-10,0.424,
2009-01,0.422,
2009-04,0.441,
2009-07,0.463,
2009-10,0.456,
2010-01,0.500,
2010-04,0.511,
2010-07,0.514,
2010-10,0.533,
2011-01,0.540,
2011-04,0.556,
2011-07,0.591,
2011-10,0.608,
2012-01,0.629,
2012-04,0.652,
2012-07,0.697,
2012-10,0.724,
2013-01,0.735,
2013-04,0.749,
2013-07,0.761,
2013-10,0.775,
2014-01,0.780,
2014-04,0.803,
2014-07,0.851,
