"",BBDA1.M.DE.N.EX.S.A.HU.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.HU.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Hungary / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:28,
1990-07,303787,
1990-08,241765,
1990-09,245967,
1990-10,275303,
1990-11,265007,
1990-12,279153,
1991-01,185997,
1991-02,154810,
1991-03,167590,
1991-04,175006,
1991-05,193973,
1991-06,190879,
1991-07,204525,
1991-08,155654,
1991-09,150959,
1991-10,201772,
1991-11,189195,
1991-12,187290,
1992-01,164728,
1992-02,179064,
1992-03,207974,
1992-04,211324,
1992-05,184883,
1992-06,178818,
1992-07,252411,
1992-08,165822,
1992-09,191992,
1992-10,213477,
1992-11,217822,
1992-12,228179,
1993-01,163123,
1993-02,202692,
1993-03,223807,
1993-04,201946,
1993-05,218669,
1993-06,231462,
1993-07,208699,
1993-08,202905,
1993-09,220224,
1993-10,245292,
1993-11,254639,
1993-12,263968,
1994-01,207156,
1994-02,243167,
1994-03,259425,
1994-04,231115,
1994-05,293613,
1994-06,324423,
1994-07,231525,
1994-08,259914,
1994-09,267593,
1994-10,283745,
1994-11,333645,
1994-12,324887,
1995-01,272802,
1995-02,300375,
1995-03,352531,
1995-04,268938,
1995-05,329911,
1995-06,305374,
1995-07,282523,
1995-08,263208,
1995-09,270952,
1995-10,301214,
1995-11,340688,
1995-12,304878,
1996-01,274599,
1996-02,309622,
1996-03,325895,
1996-04,357868,
1996-05,376236,
1996-06,369872,
1996-07,390686,
1996-08,321919,
1996-09,376899,
1996-10,406433,
1996-11,410922,
1996-12,347873,
1997-01,371853,
1997-02,412393,
1997-03,421956,
1997-04,462837,
1997-05,434678,
1997-06,496422,
1997-07,523245,
1997-08,451523,
1997-09,573389,
1997-10,642882,
1997-11,622625,
1997-12,550610,
1998-01,526525,
1998-02,597382,
1998-03,728485,
1998-04,647696,
1998-05,648166,
1998-06,671571,
1998-07,710921,
1998-08,546423,
1998-09,636026,
1998-10,734911,
1998-11,720234,
1998-12,638445,
1999-01,612910,
1999-02,638003,
1999-03,750648,
1999-04,673577,
1999-05,621626,
1999-06,756822,
1999-07,758651,
1999-08,604022,
1999-09,760507,
1999-10,763617,
1999-11,831697,
1999-12,709744,
2000-01,648004,
2000-02,789250,
2000-03,893048,
2000-04,726696,
2000-05,943079,
2000-06,889290,
2000-07,873109,
2000-08,796656,
2000-09,870040,
2000-10,1005241,
2000-11,1038350,
2000-12,826429,
2001-01,811672,
2001-02,850375,
2001-03,963586,
2001-04,812394,
2001-05,996488,
2001-06,893861,
2001-07,890579,
2001-08,828784,
2001-09,850495,
2001-10,978312,
2001-11,932880,
2001-12,710266,
2002-01,829367,
2002-02,892254,
2002-03,886316,
2002-04,924106,
2002-05,897500,
2002-06,962523,
2002-07,963785,
2002-08,861358,
2002-09,1056915,
2002-10,1054345,
2002-11,1041632,
2002-12,814664,
2003-01,890028,
2003-02,969445,
2003-03,970520,
2003-04,966027,
2003-05,1050256,
2003-06,1029714,
2003-07,1028409,
2003-08,919636,
2003-09,1071624,
2003-10,988655,
2003-11,1022164,
2003-12,953940,
2004-01,942100,
2004-02,1061373,
2004-03,1181321,
2004-04,1106251,
2004-05,1113590,
2004-06,1070870,
2004-07,1078246,
2004-08,921574,
2004-09,1129411,
2004-10,1151107,
2004-11,1168413,
2004-12,891469,
2005-01,1030254,
2005-02,1029389,
2005-03,1079380,
2005-04,1169666,
2005-05,1127443,
2005-06,1255562,
2005-07,1078132,
2005-08,1043812,
2005-09,1240631,
2005-10,1186821,
2005-11,1384375,
2005-12,1020582,
2006-01,1166743,
2006-02,1256580,
2006-03,1451477,
2006-04,1297342,
2006-05,1365100,
2006-06,1318762,
2006-07,1344284,
2006-08,1263415,
2006-09,1425666,
2006-10,1409946,
2006-11,1525128,
2006-12,1209209,
2007-01,1391586,
2007-02,1412889,
2007-03,1585566,
2007-04,1425229,
2007-05,1514852,
2007-06,1465259,
2007-07,1469712,
2007-08,1350947,
2007-09,1449169,
2007-10,1539065,
2007-11,1539349,
2007-12,1153370,
2008-01,1515869,
2008-02,1489839,
2008-03,1516592,
2008-04,1633989,
2008-05,1554658,
2008-06,1600406,
2008-07,1455657,
2008-08,1448963,
2008-09,1576508,
2008-10,1460077,
2008-11,1222252,
2008-12,885219,
2009-01,951603,
2009-02,888956,
2009-03,1046793,
2009-04,960000,
2009-05,891289,
2009-06,991179,
2009-07,992206,
2009-08,826576,
2009-09,1116997,
2009-10,1078825,
2009-11,1041928,
2009-12,888766,
2010-01,957984,
2010-02,1059676,
2010-03,1320579,
2010-04,1133096,
2010-05,1131894,
2010-06,1273693,
2010-07,1222125,
2010-08,1090597,
2010-09,1361514,
2010-10,1283919,
2010-11,1264130,
2010-12,1034253,
2011-01,1217303,
2011-02,1271100,
2011-03,1432243,
2011-04,1297219,
2011-05,1363491,
2011-06,1328657,
2011-07,1239780,
2011-08,1376103,
2011-09,1441696,
2011-10,1307690,
2011-11,1408991,
2011-12,1090271,
2012-01,1263802,
2012-02,1356285,
2012-03,1444369,
2012-04,1318936,
2012-05,1437872,
2012-06,1424387,
2012-07,1356026,
2012-08,1358690,
2012-09,1384289,
2012-10,1438319,
2012-11,1380180,
2012-12,1043998,
2013-01,1401727,
2013-02,1390187,
2013-03,1442705,
2013-04,1477963,
2013-05,1446426,
2013-06,1521332,
2013-07,1490482,
2013-08,1372993,
2013-09,1535975,
2013-10,1627104,
2013-11,1575355,
2013-12,1222138,
2014-01,1613039,
2014-02,1630058,
2014-03,1695467,
2014-04,1655625,
2014-05,1601292,
2014-06,1685120,
2014-07,1733948,
2014-08,1558712,
2014-09,1828440,
2014-10,1799230,
2014-11,1669100,
2014-12,1394827,
