"",BBK01.OEBO01U,BBK01.OEBO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:57,
2002-01,1.404,
2002-04,1.390,
2002-07,1.213,
2002-10,1.211,
2003-01,1.287,
2003-04,1.278,
2003-07,1.231,
2003-10,1.236,
2004-01,1.243,
2004-04,1.223,
2004-07,1.185,
2004-10,1.182,
2005-01,1.927,
2005-04,1.940,
2005-07,1.906,
2005-10,1.865,
2006-01,1.857,
2006-04,1.854,
2006-07,1.817,
2006-10,1.811,
2007-01,1.811,
2007-04,1.906,
2007-07,1.914,
2007-10,1.911,
2008-01,2.011,
2008-04,2.050,
2008-07,2.096,
2008-10,2.081,
2009-01,2.231,
2009-04,2.247,
2009-07,2.218,
2009-10,2.264,
2010-01,2.263,
2010-04,2.213,
2010-07,2.190,
2010-10,2.193,
2011-01,2.284,
2011-04,2.314,
2011-07,2.296,
2011-10,2.262,
2012-01,2.250,
2012-04,2.328,
2012-07,2.304,
2012-10,2.325,
2013-01,2.321,
2013-04,2.259,
2013-07,2.203,
2013-10,2.181,
2014-01,2.189,
2014-04,2.170,
2014-07,2.122,
