"",BBK01.OEXO02R,BBK01.OEXO02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:17,
2002-01,0.157,
2002-04,0.145,
2002-07,0.168,
2002-10,0.122,
2003-01,0.161,
2003-04,0.129,
2003-07,0.124,
2003-10,0.112,
2004-01,0.136,
2004-04,0.104,
2004-07,0.097,
2004-10,0.101,
2005-01,0.129,
2005-04,0.098,
2005-07,0.106,
2005-10,0.119,
2006-01,0.148,
2006-04,0.130,
2006-07,0.133,
2006-10,0.156,
2007-01,0.290,
2007-04,0.166,
2007-07,0.216,
2007-10,0.209,
2008-01,0.247,
2008-04,0.191,
2008-07,0.233,
2008-10,0.361,
2009-01,0.199,
2009-04,0.179,
2009-07,0.178,
2009-10,0.170,
2010-01,0.149,
2010-04,0.104,
2010-07,0.108,
2010-10,0.190,
2011-01,0.232,
2011-04,0.148,
2011-07,0.120,
2011-10,0.126,
2012-01,0.143,
2012-04,0.116,
2012-07,0.111,
2012-10,0.109,
2013-01,0.114,
2013-04,0.098,
2013-07,0.087,
2013-10,0.089,
2014-01,0.087,
2014-04,0.076,
2014-07,0.133,
