"",BBK01.OEAC56Q,BBK01.OEAC56Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:43,
2002-01,12.449,
2002-04,12.519,
2002-07,12.175,
2002-10,12.290,
2003-01,12.266,
2003-04,14.244,
2003-07,14.626,
2003-10,14.746,
2004-01,13.794,
2004-04,10.111,
2004-07,10.142,
2004-10,9.937,
2005-01,9.744,
2005-04,9.667,
2005-07,9.688,
2005-10,9.610,
2006-01,9.644,
2006-04,10.409,
2006-07,9.977,
2006-10,10.301,
2007-01,10.242,
2007-04,9.850,
2007-07,8.140,
2007-10,8.171,
2008-01,8.244,
2008-04,8.230,
2008-07,8.364,
2008-10,8.430,
2009-01,8.447,
2009-04,8.813,
2009-07,8.885,
2009-10,8.854,
2010-01,9.304,
2010-04,9.359,
2010-07,9.137,
2010-10,10.548,
2011-01,9.177,
2011-04,9.090,
2011-07,8.914,
2011-10,9.065,
2012-01,9.015,
2012-04,9.282,
2012-07,9.295,
2012-10,9.488,
2013-01,9.456,
2013-04,9.293,
2013-07,9.366,
2013-10,9.409,
2014-01,9.370,
2014-04,9.423,
2014-07,9.609,
