"",BBK01.CELI03,BBK01.CELI03_FLAGS
"",Listed Shares debtor: Total                                            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:23,
1999-01,21.3,
1999-04,-7.5,
1999-07,0.1,
1999-10,14.7,
2000-01,45.3,
2000-04,-49.1,
2000-07,-1.3,
2000-10,11.2,
2001-01,30.1,
2001-04,-25.2,
2001-07,-15.5,
2001-10,-3.0,
2002-01,6.3,
2002-04,-8.2,
2002-07,-3.5,
2002-10,4.8,
2003-01,-8.5,
2003-04,4.1,
2003-07,0.3,
2003-10,4.3,
2004-01,2.6,
2004-04,-5.0,
2004-07,-8.2,
2004-10,8.5,
2005-01,1.3,
2005-04,-4.0,
2005-07,8.0,
2005-10,6.2,
2006-01,12.5,
2006-04,-10.8,
2006-07,13.7,
2006-10,13.8,
2007-01,-22.1,
2007-04,-8.2,
2007-07,-1.6,
2007-10,6.0,
2008-01,-6.6,
2008-04,-5.0,
2008-07,-6.8,
2008-10,-1.7,
2009-01,16.1,
2009-04,-7.3,
2009-07,-1.6,
2009-10,1.2,
2010-01,-0.7,
2010-04,0.0,
2010-07,-3.1,
2010-10,2.6,
2011-01,3.5,
2011-04,0.2,
2011-07,-20.9,
2011-10,12.8,
2012-01,-4.4,
2012-04,-4.3,
2012-07,2.8,
2012-10,5.2,
2013-01,6.4,
2013-04,-0.9,
2013-07,5.4,
2013-10,-8.2,
2014-01,5.7,
2014-04,3.9,
2014-07,3.7,
