"",BBK01.OEAF25Q,BBK01.OEAF25Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:30,
2002-01,1.235,
2002-04,1.209,
2002-07,1.180,
2002-10,1.145,
2003-01,1.063,
2003-04,1.023,
2003-07,0.975,
2003-10,0.957,
2004-01,0.931,
2004-04,0.849,
2004-07,0.816,
2004-10,0.758,
2005-01,0.719,
2005-04,0.706,
2005-07,0.680,
2005-10,0.583,
2006-01,0.581,
2006-04,0.582,
2006-07,0.577,
2006-10,0.548,
2007-01,0.552,
2007-04,0.544,
2007-07,0.527,
2007-10,0.505,
2008-01,0.489,
2008-04,0.481,
2008-07,0.485,
2008-10,0.468,
2009-01,0.473,
2009-04,0.472,
2009-07,0.483,
2009-10,0.485,
2010-01,0.469,
2010-04,0.470,
2010-07,0.444,
2010-10,0.450,
2011-01,0.454,
2011-04,0.441,
2011-07,0.422,
2011-10,0.394,
2012-01,0.407,
2012-04,0.411,
2012-07,0.411,
2012-10,0.420,
2013-01,0.420,
2013-04,0.402,
2013-07,0.411,
2013-10,0.406,
2014-01,0.399,
2014-04,0.398,
2014-07,0.398,
