"",BBK01.OEAE33V,BBK01.OEAE33V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:46,
2002-01,1.530,
2002-04,1.529,
2002-07,1.511,
2002-10,1.490,
2003-01,1.477,
2003-04,1.483,
2003-07,1.453,
2003-10,1.437,
2004-01,1.308,
2004-04,1.289,
2004-07,1.329,
2004-10,1.309,
2005-01,1.296,
2005-04,1.358,
2005-07,1.596,
2005-10,1.359,
2006-01,1.337,
2006-04,1.373,
2006-07,1.335,
2006-10,1.317,
2007-01,1.288,
2007-04,1.257,
2007-07,1.268,
2007-10,1.271,
2008-01,1.280,
2008-04,1.341,
2008-07,1.328,
2008-10,1.350,
2009-01,1.187,
2009-04,1.232,
2009-07,1.243,
2009-10,1.167,
2010-01,1.231,
2010-04,1.246,
2010-07,1.224,
2010-10,1.230,
2011-01,1.236,
2011-04,1.230,
2011-07,1.231,
2011-10,1.216,
2012-01,1.216,
2012-04,1.251,
2012-07,1.248,
2012-10,1.271,
2013-01,1.292,
2013-04,1.308,
2013-07,1.342,
2013-10,1.349,
2014-01,1.349,
2014-04,1.432,
2014-07,1.434,
