"",BBK01.OEYI09M,BBK01.OEYI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:28,
2002-01,0.197,
2002-04,0.201,
2002-07,0.205,
2002-10,0.204,
2003-01,0.205,
2003-04,0.195,
2003-07,0.140,
2003-10,0.147,
2004-01,0.145,
2004-04,0.148,
2004-07,0.151,
2004-10,0.136,
2005-01,0.133,
2005-04,0.131,
2005-07,0.133,
2005-10,0.120,
2006-01,0.121,
2006-04,0.123,
2006-07,0.111,
2006-10,0.109,
2007-01,0.108,
2007-04,0.107,
2007-07,0.099,
2007-10,0.070,
2008-01,0.055,
2008-04,0.037,
2008-07,0.036,
2008-10,0.028,
2009-01,0.023,
2009-04,0.761,
2009-07,0.652,
2009-10,0.428,
2010-01,0.456,
2010-04,0.489,
2010-07,0.489,
2010-10,0.475,
2011-01,0.507,
2011-04,0.550,
2011-07,0.562,
2011-10,0.582,
2012-01,0.566,
2012-04,0.556,
2012-07,0.527,
2012-10,0.425,
2013-01,0.386,
2013-04,0.376,
2013-07,0.368,
2013-10,0.360,
2014-01,0.334,
2014-04,0.135,
2014-07,0.132,
