"",BBK01.OEAC46J,BBK01.OEAC46J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:27,
2002-01,7.833,
2002-04,7.837,
2002-07,8.388,
2002-10,8.739,
2003-01,8.680,
2003-04,8.521,
2003-07,8.429,
2003-10,8.527,
2004-01,8.569,
2004-04,8.678,
2004-07,8.614,
2004-10,8.671,
2005-01,9.145,
2005-04,9.296,
2005-07,9.332,
2005-10,9.582,
2006-01,9.651,
2006-04,9.724,
2006-07,9.721,
2006-10,8.763,
2007-01,8.767,
2007-04,8.906,
2007-07,9.113,
2007-10,9.174,
2008-01,9.225,
2008-04,9.385,
2008-07,9.098,
2008-10,9.233,
2009-01,9.134,
2009-04,9.254,
2009-07,9.067,
2009-10,9.205,
2010-01,9.163,
2010-04,11.789,
2010-07,11.623,
2010-10,11.928,
2011-01,11.848,
2011-04,11.792,
2011-07,11.953,
2011-10,12.092,
2012-01,11.555,
2012-04,12.624,
2012-07,12.520,
2012-10,12.419,
2013-01,12.497,
2013-04,12.457,
2013-07,12.514,
2013-10,12.374,
2014-01,12.534,
2014-04,12.500,
2014-07,12.562,
