"",BBFB1.Q.N.DE.R5.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:40,
1991-01,285.843,
1991-04,449.128,
1991-07,954.261,
1991-10,1287.099,
1992-01,1092.062,
1992-04,1024.654,
1992-07,1035.406,
1992-10,1054.862,
1993-01,623.646,
1993-04,503.813,
1993-07,519.556,
1993-10,949.623,
1994-01,805.237,
1994-04,701.247,
1994-07,361.592,
1994-10,622.711,
1995-01,667.020,
1995-04,540.801,
1995-07,581.077,
1995-10,958.421,
1996-01,550.127,
1996-04,623.238,
1996-07,755.137,
1996-10,726.534,
1997-01,460.277,
1997-04,850.003,
1997-07,956.286,
1997-10,1016.895,
1998-01,1037.504,
1998-04,810.849,
1998-07,982.702,
1998-10,1169.591,
1999-01,993.692,
1999-04,837.414,
1999-07,592.760,
1999-10,437.894,
2000-01,57.746,
2000-04,-226.648,
2000-07,-253.566,
2000-10,-136.393,
2001-01,865.286,
2001-04,621.844,
2001-07,1078.043,
2001-10,1680.080,
2002-01,1523.159,
2002-04,1627.535,
2002-07,1710.601,
2002-10,1487.875,
2003-01,1242.475,
2003-04,1310.007,
2003-07,2299.984,
2003-10,1480.639,
2004-01,1913.091,
2004-04,2236.466,
2004-07,1710.803,
2004-10,1394.750,
2005-01,2829.282,
2005-04,2510.832,
2005-07,2203.190,
2005-10,2266.718,
2006-01,2626.585,
2006-04,2551.600,
2006-07,2394.247,
2006-10,3426.069,
2007-01,3990.438,
2007-04,3442.342,
2007-07,3397.127,
2007-10,3776.005,
2008-01,3627.223,
2008-04,3066.558,
2008-07,3353.422,
2008-10,6041.392,
2009-01,5022.654,
2009-04,4139.506,
2009-07,3897.867,
2009-10,4832.570,
2010-01,4223.230,
2010-04,4038.988,
2010-07,5486.277,
2010-10,5143.718,
2011-01,3131.188,
2011-04,2574.322,
2011-07,3355.307,
2011-10,5553.570,
2012-01,3390.740,
2012-04,4205.478,
2012-07,4455.991,
2012-10,4467.324,
2013-01,3604.658,
2013-04,4329.931,
2013-07,4277.593,
2013-10,6414.802,
2014-01,5747.955,Provisional value
2014-04,6596.903,Provisional value
2014-07,5630.825,Provisional value
