"",BBK01.TQ7005G,BBK01.TQ7005G_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - General government               FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:23,
2005-10,8.13,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,7.52,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,6.52,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,5.95,
2009-01,6.03,
2009-04,6.00,
2009-07,6.28,
2009-10,6.25,
2010-01,6.22,
2010-04,6.25,
2010-07,6.44,
2010-10,7.75,
2011-01,7.56,
2011-04,7.11,
2011-07,6.64,
2011-10,6.59,
2012-01,6.34,
2012-04,6.51,
2012-07,6.39,
2012-10,6.48,
2013-01,6.46,
2013-04,6.46,
2013-07,6.52,
2013-10,6.63,
2014-01,6.56,
2014-04,6.40,
2014-07,6.28,
