"",BBDE1.M.DE.Y.AEB5.N2C140000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.N2C140000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / 14 Manufacture of wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:52,
1991-01,99.4,
1991-02,113.8,
1991-03,128.4,
1991-04,129.1,
1991-05,133.1,
1991-06,154.0,
1991-07,105.8,
1991-08,112.7,
1991-09,144.2,
1991-10,141.9,
1991-11,152.7,
1991-12,148.4,
1992-01,118.8,
1992-02,120.5,
1992-03,124.5,
1992-04,120.8,
1992-05,118.4,
1992-06,112.9,
1992-07,107.7,
1992-08,111.2,
1992-09,129.0,
1992-10,112.3,
1992-11,105.3,
1992-12,109.1,
1993-01,107.7,
1993-02,103.7,
1993-03,106.5,
1993-04,102.5,
1993-05,92.2,
1993-06,97.2,
1993-07,108.5,
1993-08,105.6,
1993-09,100.2,
1993-10,105.6,
1993-11,94.9,
1993-12,100.9,
1994-01,109.1,
1994-02,110.7,
1994-03,102.7,
1994-04,109.5,
1994-05,136.5,
1994-06,92.2,
1994-07,101.7,
1994-08,109.3,
1994-09,108.6,
1994-10,117.9,
1994-11,106.6,
1994-12,99.5,
1995-01,109.7,
1995-02,115.3,
1995-03,115.9,
1995-04,119.5,
1995-05,129.9,
1995-06,113.5,
1995-07,108.0,
1995-08,112.4,
1995-09,104.2,
1995-10,192.8,
1995-11,104.0,
1995-12,107.4,
1996-01,118.7,
1996-02,106.0,
1996-03,119.3,
1996-04,127.0,
1996-05,122.4,
1996-06,105.2,
1996-07,112.7,
1996-08,110.7,
1996-09,121.9,
1996-10,117.2,
1996-11,106.0,
1996-12,93.7,
1997-01,118.5,
1997-02,120.1,
1997-03,127.0,
1997-04,114.0,
1997-05,111.6,
1997-06,107.2,
1997-07,119.8,
1997-08,117.8,
1997-09,134.5,
1997-10,109.8,
1997-11,125.6,
1997-12,128.5,
1998-01,118.3,
1998-02,125.9,
1998-03,127.7,
1998-04,108.1,
1998-05,118.3,
1998-06,149.4,
1998-07,138.6,
1998-08,139.8,
1998-09,123.1,
1998-10,114.7,
1998-11,126.4,
1998-12,140.0,
1999-01,127.4,
1999-02,124.7,
1999-03,120.1,
1999-04,116.7,
1999-05,122.6,
1999-06,148.8,
1999-07,135.2,
1999-08,128.0,
1999-09,126.2,
1999-10,128.8,
1999-11,131.4,
1999-12,122.5,
2000-01,123.7,
2000-02,122.5,
2000-03,119.5,
2000-04,117.1,
2000-05,128.8,
2000-06,140.7,
2000-07,126.1,
2000-08,137.6,
2000-09,135.3,
2000-10,114.3,
2000-11,125.3,
2000-12,128.1,
2001-01,138.1,
2001-02,143.2,
2001-03,137.4,
2001-04,157.9,
2001-05,175.7,
2001-06,185.2,
2001-07,162.9,
2001-08,158.4,
2001-09,156.2,
2001-10,178.6,
2001-11,211.8,
2001-12,215.3,
2002-01,112.8,
2002-02,129.4,
2002-03,133.0,
2002-04,134.3,
2002-05,117.2,
2002-06,120.5,
2002-07,126.4,
2002-08,133.1,
2002-09,132.3,
2002-10,143.9,
2002-11,120.9,
2002-12,115.0,
2003-01,134.4,
2003-02,129.9,
2003-03,119.9,
2003-04,122.2,
2003-05,103.4,
2003-06,123.3,
2003-07,100.4,
2003-08,126.2,
2003-09,123.7,
2003-10,120.7,
2003-11,118.1,
2003-12,141.3,
2004-01,116.5,
2004-02,118.6,
2004-03,123.7,
2004-04,114.4,
2004-05,92.4,
2004-06,107.0,
2004-07,110.4,
2004-08,122.3,
2004-09,118.4,
2004-10,107.8,
2004-11,97.8,
2004-12,101.0,
2005-01,125.9,
2005-02,129.2,
2005-03,141.5,
2005-04,133.1,
2005-05,100.5,
2005-06,122.4,
2005-07,120.6,
2005-08,124.6,
2005-09,127.0,
2005-10,121.6,
2005-11,125.8,
2005-12,126.8,
2006-01,118.2,
2006-02,130.9,
2006-03,139.1,
2006-04,133.3,
2006-05,147.6,
2006-06,117.1,
2006-07,125.9,
2006-08,143.7,
2006-09,137.6,
2006-10,125.0,
2006-11,129.1,
2006-12,133.6,
2007-01,141.0,
2007-02,145.2,
2007-03,139.6,
2007-04,134.6,
2007-05,143.7,
2007-06,147.6,
2007-07,159.9,
2007-08,144.0,
2007-09,134.0,
2007-10,119.0,
2007-11,112.2,
2007-12,165.4,
2008-01,160.4,
2008-02,155.9,
2008-03,124.7,
2008-04,135.2,
2008-05,171.7,
2008-06,146.0,
2008-07,163.3,
2008-08,125.3,
2008-09,124.9,
2008-10,122.2,
2008-11,202.0,
2008-12,109.6,
2009-01,104.5,
2009-02,89.2,
2009-03,94.7,
2009-04,94.3,
2009-05,87.3,
2009-06,100.5,
2009-07,119.9,
2009-08,100.9,
2009-09,96.6,
2009-10,102.8,
2009-11,116.3,
