"",BBK01.OEYB15L,BBK01.OEYB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:10,
2002-01,0.409,
2002-04,0.409,
2002-07,0.419,
2002-10,0.397,
2003-01,0.369,
2003-04,0.367,
2003-07,0.477,
2003-10,0.472,
2004-01,0.542,
2004-04,0.557,
2004-07,0.549,
2004-10,0.560,
2005-01,0.524,
2005-04,0.542,
2005-07,0.575,
2005-10,0.536,
2006-01,0.535,
2006-04,0.528,
2006-07,0.478,
2006-10,0.466,
2007-01,0.466,
2007-04,0.420,
2007-07,0.435,
2007-10,0.423,
2008-01,0.400,
2008-04,0.403,
2008-07,0.394,
2008-10,0.383,
2009-01,0.412,
2009-04,0.509,
2009-07,0.543,
2009-10,0.555,
2010-01,0.570,
2010-04,0.585,
2010-07,0.566,
2010-10,0.570,
2011-01,0.310,
2011-04,0.301,
2011-07,0.300,
2011-10,0.286,
2012-01,0.277,
2012-04,0.280,
2012-07,0.281,
2012-10,0.261,
2013-01,0.261,
2013-04,0.244,
2013-07,0.246,
2013-10,0.235,
2014-01,0.244,
2014-04,0.242,
2014-07,0.240,
