"",BBFB1.M.N.DE.W1.S1.S1.T.D.G___FOB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G___FOB._Z._Z._Z._T._X.N_FLAGS
"",Debit (Uses) / Exports (fob) / Not applicable / Rest of the World / Total economy / Not applicable,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:59,
1991-01,27931.466,
1991-02,24923.242,
1991-03,26650.969,
1991-04,27634.236,
1991-05,27712.128,
1991-06,26565.864,
1991-07,29393.685,
1991-08,24304.017,
1991-09,25743.625,
1991-10,29336.422,
1991-11,27420.440,
1991-12,25222.343,
1992-01,27300.749,
1992-02,26488.649,
1992-03,29066.201,
1992-04,29238.826,
1992-05,25576.403,
1992-06,24782.116,
1992-07,29515.335,
1992-08,21568.898,
1992-09,25093.014,
1992-10,28031.964,
1992-11,26071.549,
1992-12,27444.808,
1993-01,21657.369,
1993-02,24025.162,
1993-03,24995.196,
1993-04,24760.496,
1993-05,22839.572,
1993-06,23663.302,
1993-07,23691.577,
1993-08,22313.134,
1993-09,24016.988,
1993-10,24496.139,
1993-11,24965.505,
1993-12,25447.416,
1994-01,22538.363,
1994-02,23879.993,
1994-03,28103.669,
1994-04,24836.582,
1994-05,26572.930,
1994-06,26304.679,
1994-07,25596.322,
1994-08,24236.797,
1994-09,26637.809,
1994-10,26793.360,
1994-11,27201.371,
1994-12,29638.087,
1995-01,25104.509,
1995-02,27000.391,
1995-03,31043.753,
1995-04,26200.410,
1995-05,28242.509,
1995-06,28976.344,
1995-07,27120.506,
1995-08,25028.626,
1995-09,28194.415,
1995-10,29067.298,
1995-11,28584.677,
1995-12,28612.073,
1996-01,28759.671,
1996-02,27341.376,
1996-03,29751.581,
1996-04,29043.450,
1996-05,27941.266,
1996-06,28561.766,
1996-07,29590.803,
1996-08,25525.052,
1996-09,28320.342,
1996-10,31762.349,
1996-11,30078.036,
1996-12,29636.475,
1997-01,30211.074,
1997-02,30083.644,
1997-03,30947.860,
1997-04,32077.394,
1997-05,31280.426,
1997-06,33002.412,
1997-07,34101.392,
1997-08,29399.143,
1997-09,32867.699,
1997-10,36167.301,
1997-11,34071.053,
1997-12,33014.244,
1998-01,34442.043,
1998-02,33141.886,
1998-03,35903.758,
1998-04,36885.579,
1998-05,32228.601,
1998-06,36275.239,
1998-07,36285.823,
1998-08,30991.359,
1998-09,33375.609,
1998-10,36425.737,
1998-11,34032.566,
1998-12,35415.322,
1999-01,31102.523,
1999-02,33137.975,
1999-03,37436.095,
1999-04,35490.921,
1999-05,36012.740,
1999-06,37295.632,
1999-07,36637.469,
1999-08,35038.693,
1999-09,36693.381,
1999-10,38307.352,
1999-11,40478.862,
1999-12,38842.745,
2000-01,38145.050,
2000-02,38545.942,
2000-03,45139.377,
2000-04,39199.118,
2000-05,46720.865,
2000-06,42144.472,
2000-07,42996.378,
2000-08,43366.757,
2000-09,43808.623,
2000-10,49029.312,
2000-11,51087.348,
2000-12,47435.353,
2001-01,45260.223,
2001-02,44039.289,
2001-03,45515.515,
2001-04,45791.789,
2001-05,45539.767,
2001-06,45079.711,
2001-07,45010.599,
2001-08,41722.446,
2001-09,41737.659,
2001-10,46689.579,
2001-11,46614.395,
2001-12,39177.776,
2002-01,39011.108,
2002-02,40506.508,
2002-03,41499.913,
2002-04,45084.953,
2002-05,39286.700,
2002-06,44501.258,
2002-07,41815.140,
2002-08,40437.258,
2002-09,42470.557,
2002-10,46429.850,
2002-11,45705.143,
2002-12,41681.480,
2003-01,43362.641,
2003-02,42492.092,
2003-03,45213.782,
2003-04,43895.004,
2003-05,43265.587,
2003-06,43099.615,
2003-07,43288.546,
2003-08,38903.019,
2003-09,43190.357,
2003-10,46485.387,
2003-11,47677.087,
2003-12,43270.198,
2004-01,42052.365,
2004-02,43383.823,
2004-03,47267.718,
2004-04,46274.164,
2004-05,45437.723,
2004-06,46933.712,
2004-07,47613.925,
2004-08,44071.998,
2004-09,48592.417,
2004-10,50582.769,
2004-11,53610.786,
2004-12,47866.246,
2005-01,46216.733,
2005-02,45208.260,
2005-03,47993.666,
2005-04,51144.732,
2005-05,50615.223,
2005-06,51432.795,
2005-07,50085.050,
2005-08,50017.738,
2005-09,53470.492,
2005-10,55771.389,
2005-11,57527.836,
2005-12,56715.576,
2006-01,54870.386,
2006-02,56074.369,
2006-03,61111.585,
2006-04,57769.107,
2006-05,59124.737,
2006-06,60102.327,
2006-07,59077.596,
2006-08,56996.496,
2006-09,62850.822,
2006-10,65518.008,
2006-11,65807.878,
2006-12,61521.005,
2007-01,59759.921,
2007-02,62206.607,
2007-03,64352.807,
2007-04,62471.432,
2007-05,60557.869,
2007-06,63911.268,
2007-07,62203.882,
2007-08,61983.053,
2007-09,62165.411,
2007-10,68385.266,
2007-11,66707.680,
2007-12,61245.521,
2008-01,64923.166,
2008-02,65141.246,
2008-03,64749.651,
2008-04,68452.127,
2008-05,64091.968,
2008-06,66421.937,
2008-07,70492.203,
2008-08,62711.252,
2008-09,69683.110,
2008-10,70819.752,
2008-11,64865.815,
2008-12,58188.441,
2009-01,55378.757,
2009-02,54290.046,
2009-03,58107.908,
2009-04,53714.409,
2009-05,49718.739,
2009-06,52553.326,
2009-07,54287.480,
2009-08,50377.564,
2009-09,58600.317,
2009-10,59241.062,
2009-11,55578.239,
2009-12,54178.478,
2010-01,54102.296,
2010-02,55817.380,
2010-03,68028.780,
2010-04,61062.962,
2010-05,64831.283,
2010-06,69898.951,
2010-07,67155.686,
2010-08,63690.426,
2010-09,68368.655,
2010-10,70331.545,
2010-11,72521.904,
2010-12,67296.931,
2011-01,68162.312,
2011-02,71151.804,
2011-03,78585.563,
2011-04,72376.988,
2011-05,76180.408,
2011-06,73906.131,
2011-07,73743.052,
2011-08,72235.366,
2011-09,76382.193,
2011-10,76830.184,
2011-11,76672.691,
2011-12,71185.321,
2012-01,71232.783,
2012-02,74501.953,
2012-03,80061.098,
2012-04,71547.973,
2012-05,75425.367,
2012-06,74824.741,
2012-07,74672.419,
2012-08,71881.595,
2012-09,73185.357,
2012-10,80996.771,
2012-11,75412.964,
2012-12,65358.862,
2013-01,73309.484,
2013-02,70314.964,
2013-03,74079.497,
2013-04,74460.971,
2013-05,72962.728,
2013-06,73693.166,
2013-07,75144.837,
2013-08,70602.942,
2013-09,72716.284,
2013-10,79412.684,
2013-11,74815.063,
2013-12,66672.147,
2014-01,74018.127,
2014-02,74139.547,
2014-03,77144.117,
2014-04,74512.157,
2014-05,72470.142,
2014-06,75239.237,
2014-07,75565.228,
2014-08,68330.731,
2014-09,78483.213,
2014-10,80012.839,
2014-11,76403.637,
2014-12,69374.637,Provisional value
