"",BBSF2.M.1.T.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:48,
2009-09,179,
2009-10,252,
2009-11,57,
2009-12,762,
2010-01,551,
2010-02,21,
2010-03,60,
2010-04,72,
2010-05,22,
2010-06,406,
2010-07,615,
2010-08,20,
2010-09,35,
2010-10,75,
2010-11,94,
2010-12,1184,
2011-01,522,
2011-02,70,
2011-03,102,
2011-04,52,
2011-05,7,
2011-06,710,
2011-07,379,
2011-08,18,
2011-09,21,
2011-10,74,
2011-11,90,
2011-12,953,
2012-01,713,
2012-02,23,
2012-03,38,
2012-04,203,
2012-05,10,
2012-06,25,
2012-07,900,
2012-08,24,
2012-09,24,
2012-10,101,
2012-11,142,
2012-12,1466,
2013-01,559,
2013-02,25,
2013-03,40,
2013-04,198,
2013-05,17,
2013-06,250,
2013-07,214,
2013-08,28,
2013-09,51,
2013-10,328,
2013-11,144,
2013-12,1297,
2014-01,509,
2014-02,30,
2014-03,55,
2014-04,228,
2014-05,31,
2014-06,388,
2014-07,848,
2014-08,72,
2014-09,99,
2014-10,92,
2014-11,156,
