"",BBK01.OELJ02K,BBK01.OELJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:23,
2002-01,0.181,
2002-04,0.156,
2002-07,0.186,
2002-10,0.380,
2003-01,0.158,
2003-04,0.176,
2003-07,0.241,
2003-10,0.282,
2004-01,0.200,
2004-04,0.245,
2004-07,0.198,
2004-10,0.257,
2005-01,0.256,
2005-04,0.244,
2005-07,0.230,
2005-10,0.256,
2006-01,0.258,
2006-04,0.249,
2006-07,0.306,
2006-10,0.296,
2007-01,0.309,
2007-04,0.317,
2007-07,0.343,
2007-10,0.352,
2008-01,0.377,
2008-04,0.384,
2008-07,0.436,
2008-10,0.458,
2009-01,0.410,
2009-04,0.438,
2009-07,0.447,
2009-10,0.528,
2010-01,0.511,
2010-04,0.668,
2010-07,0.672,
2010-10,0.762,
2011-01,0.761,
2011-04,0.659,
2011-07,0.618,
2011-10,0.770,
2012-01,0.723,
2012-04,0.705,
2012-07,0.738,
2012-10,0.911,
2013-01,0.785,
2013-04,0.850,
2013-07,1.003,
2013-10,1.077,
2014-01,0.895,
2014-04,0.908,
2014-07,0.947,
