"",BBK01.OEHB11S,BBK01.OEHB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:13,
2002-01,0.088,
2002-04,0.087,
2002-07,0.083,
2002-10,0.080,
2003-01,0.080,
2003-04,0.077,
2003-07,0.075,
2003-10,0.070,
2004-01,0.071,
2004-04,0.069,
2004-07,0.066,
2004-10,0.060,
2005-01,0.056,
2005-04,0.055,
2005-07,0.047,
2005-10,0.052,
2006-01,0.051,
2006-04,0.052,
2006-07,0.052,
2006-10,0.056,
2007-01,0.049,
2007-04,0.053,
2007-07,0.051,
2007-10,0.051,
2008-01,0.047,
2008-04,0.046,
2008-07,0.060,
2008-10,0.062,
2009-01,0.058,
2009-04,0.103,
2009-07,0.106,
2009-10,0.116,
2010-01,0.118,
2010-04,0.129,
2010-07,0.161,
2010-10,0.179,
2011-01,0.182,
2011-04,0.269,
2011-07,0.264,
2011-10,0.247,
2012-01,0.262,
2012-04,0.263,
2012-07,0.328,
2012-10,0.246,
2013-01,0.247,
2013-04,0.257,
2013-07,0.235,
2013-10,0.243,
2014-01,0.250,
2014-04,0.247,
2014-07,0.227,
