"",BBK01.OEYI10Q,BBK01.OEYI10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:36,
2002-01,1.227,
2002-04,1.177,
2002-07,1.216,
2002-10,1.187,
2003-01,1.328,
2003-04,1.270,
2003-07,1.277,
2003-10,1.229,
2004-01,1.163,
2004-04,1.034,
2004-07,1.034,
2004-10,1.040,
2005-01,0.852,
2005-04,0.786,
2005-07,0.760,
2005-10,0.806,
2006-01,0.815,
2006-04,0.822,
2006-07,0.831,
2006-10,0.851,
2007-01,0.888,
2007-04,0.872,
2007-07,0.891,
2007-10,0.919,
2008-01,0.918,
2008-04,0.913,
2008-07,0.941,
2008-10,0.972,
2009-01,0.950,
2009-04,0.933,
2009-07,0.941,
2009-10,0.969,
2010-01,0.948,
2010-04,0.930,
2010-07,0.939,
2010-10,0.941,
2011-01,0.936,
2011-04,0.928,
2011-07,0.927,
2011-10,0.952,
2012-01,0.923,
2012-04,0.917,
2012-07,0.941,
2012-10,0.931,
2013-01,0.997,
2013-04,0.980,
2013-07,0.563,
2013-10,0.644,
2014-01,0.694,
2014-04,0.669,
2014-07,0.677,
