"",BBK01.OEXL09I,BBK01.OEXL09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:40,
2002-01,0.890,
2002-04,0.857,
2002-07,0.883,
2002-10,0.852,
2003-01,0.754,
2003-04,0.694,
2003-07,0.599,
2003-10,0.579,
2004-01,0.526,
2004-04,0.489,
2004-07,0.465,
2004-10,0.450,
2005-01,0.461,
2005-04,0.442,
2005-07,0.393,
2005-10,0.384,
2006-01,0.384,
2006-04,0.413,
2006-07,0.459,
2006-10,0.557,
2007-01,0.816,
2007-04,0.915,
2007-07,1.025,
2007-10,1.186,
2008-01,1.235,
2008-04,1.283,
2008-07,1.353,
2008-10,1.644,
2009-01,1.552,
2009-04,1.526,
2009-07,1.481,
2009-10,1.195,
2010-01,1.025,
2010-04,1.027,
2010-07,1.482,
2010-10,1.662,
2011-01,1.903,
2011-04,1.987,
2011-07,2.024,
2011-10,1.952,
2012-01,1.800,
2012-04,1.728,
2012-07,1.570,
2012-10,1.365,
2013-01,1.196,
2013-04,1.050,
2013-07,0.964,
2013-10,0.929,
2014-01,0.884,
2014-04,0.843,
2014-07,1.033,
