"",BBK01.OECL01I,BBK01.OECL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:19,
2002-01,6.788,
2002-04,6.775,
2002-07,6.238,
2002-10,6.108,
2003-01,5.944,
2003-04,5.723,
2003-07,5.424,
2003-10,5.189,
2004-01,4.684,
2004-04,4.444,
2004-07,3.970,
2004-10,4.167,
2005-01,8.762,
2005-04,8.870,
2005-07,8.803,
2005-10,8.959,
2006-01,8.682,
2006-04,8.748,
2006-07,8.694,
2006-10,8.778,
2007-01,8.862,
2007-04,9.224,
2007-07,9.274,
2007-10,9.684,
2008-01,9.692,
2008-04,10.027,
2008-07,10.137,
2008-10,11.063,
2009-01,11.690,
2009-04,11.524,
2009-07,11.085,
2009-10,11.060,
2010-01,11.715,
2010-04,12.893,
2010-07,12.126,
2010-10,12.196,
2011-01,12.275,
2011-04,11.047,
2011-07,10.498,
2011-10,10.753,
2012-01,11.095,
2012-04,11.147,
2012-07,11.249,
2012-10,11.348,
2013-01,11.178,
2013-04,11.273,
2013-07,11.162,
2013-10,11.167,
2014-01,11.226,
2014-04,11.222,
2014-07,11.520,
