"",BBK01.OEBK05H,BBK01.OEBK05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:16,
2002-01,0.025,
2002-04,0.024,
2002-07,0.021,
2002-10,0.024,
2003-01,0.027,
2003-04,0.026,
2003-07,0.026,
2003-10,0.025,
2004-01,0.026,
2004-04,0.031,
2004-07,0.025,
2004-10,0.028,
2005-01,0.037,
2005-04,0.035,
2005-07,0.036,
2005-10,0.035,
2006-01,0.040,
2006-04,0.043,
2006-07,0.045,
2006-10,0.045,
2007-01,0.042,
2007-04,0.044,
2007-07,0.049,
2007-10,0.049,
2008-01,0.051,
2008-04,0.047,
2008-07,0.062,
2008-10,0.074,
2009-01,0.089,
2009-04,0.092,
2009-07,0.100,
2009-10,0.104,
2010-01,0.113,
2010-04,0.120,
2010-07,0.117,
2010-10,0.134,
2011-01,0.135,
2011-04,0.110,
2011-07,0.109,
2011-10,0.112,
2012-01,0.107,
2012-04,0.115,
2012-07,0.111,
2012-10,0.103,
2013-01,0.096,
2013-04,0.093,
2013-07,0.097,
2013-10,0.098,
2014-01,0.100,
2014-04,0.127,
2014-07,0.098,
