"",BBK01.CEF50M,BBK01.CEF50M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:32,
1999-01,38.8,
1999-04,42.6,
1999-07,46.5,
1999-10,50.3,
2000-01,50.2,
2000-04,50.1,
2000-07,50.0,
2000-10,49.8,
2001-01,50.1,
2001-04,50.3,
2001-07,50.6,
2001-10,50.8,
2002-01,48.5,
2002-04,46.3,
2002-07,44.0,
2002-10,41.7,
2003-01,42.5,
2003-04,43.3,
2003-07,44.0,
2003-10,44.8,
2004-01,45.4,
2004-04,46.0,
2004-07,46.6,
2004-10,47.2,
2005-01,46.1,
2005-04,45.0,
2005-07,44.0,
2005-10,42.9,
2006-01,50.0,
2006-04,48.4,
2006-07,51.5,
2006-10,53.5,
2007-01,52.4,
2007-04,55.9,
2007-07,54.7,
2007-10,52.3,
2008-01,50.1,
2008-04,48.6,
2008-07,44.9,
2008-10,40.9,
2009-01,40.6,
2009-04,41.0,
2009-07,42.0,
2009-10,42.0,
2010-01,43.2,
2010-04,43.8,
2010-07,45.6,
2010-10,46.1,
2011-01,46.1,
2011-04,46.7,
2011-07,44.2,
2011-10,45.6,
2012-01,51.7,
2012-04,53.1,
2012-07,56.3,
2012-10,57.5,
2013-01,56.6,
2013-04,57.0,
2013-07,59.0,
2013-10,61.4,
2014-01,62.8,
2014-04,63.6,
2014-07,65.2,
