"",BBK01.OEBB16O,BBK01.OEBB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:53,
2002-01,0.344,
2002-04,0.315,
2002-07,0.263,
2002-10,0.022,
2003-01,0.028,
2003-04,-0.034,
2003-07,-0.077,
2003-10,-0.158,
2004-01,-0.181,
2004-04,-0.236,
2004-07,-0.228,
2004-10,-0.263,
2005-01,0.910,
2005-04,0.903,
2005-07,0.905,
2005-10,0.897,
2006-01,0.873,
2006-04,0.859,
2006-07,0.839,
2006-10,0.823,
2007-01,0.823,
2007-04,0.831,
2007-07,0.813,
2007-10,0.794,
2008-01,0.798,
2008-04,0.788,
2008-07,0.776,
2008-10,0.757,
2009-01,0.749,
2009-04,0.784,
2009-07,0.771,
2009-10,0.759,
2010-01,0.755,
2010-04,0.742,
2010-07,0.816,
2010-10,0.814,
2011-01,0.692,
2011-04,0.672,
2011-07,0.659,
2011-10,0.636,
2012-01,0.615,
2012-04,0.605,
2012-07,0.599,
2012-10,0.593,
2013-01,0.588,
2013-04,0.581,
2013-07,0.634,
2013-10,0.635,
2014-01,0.623,
2014-04,0.615,
2014-07,0.570,
