"",BBK01.OEAH65L,BBK01.OEAH65L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:26,
2002-01,1.626,
2002-04,1.641,
2002-07,1.623,
2002-10,1.592,
2003-01,1.536,
2003-04,1.476,
2003-07,1.437,
2003-10,1.437,
2004-01,1.391,
2004-04,1.341,
2004-07,1.315,
2004-10,1.298,
2005-01,1.206,
2005-04,1.198,
2005-07,1.193,
2005-10,1.331,
2006-01,1.611,
2006-04,1.871,
2006-07,2.261,
2006-10,2.827,
2007-01,3.747,
2007-04,4.640,
2007-07,5.552,
2007-10,6.952,
2008-01,7.763,
2008-04,8.541,
2008-07,8.953,
2008-10,9.617,
2009-01,8.652,
2009-04,6.944,
2009-07,5.465,
2009-10,3.888,
2010-01,3.047,
2010-04,2.770,
2010-07,2.539,
2010-10,2.652,
2011-01,2.696,
2011-04,2.826,
2011-07,2.891,
2011-10,3.379,
2012-01,3.458,
2012-04,3.427,
2012-07,3.377,
2012-10,3.206,
2013-01,2.959,
2013-04,2.749,
2013-07,2.580,
2013-10,2.540,
2014-01,2.529,
2014-04,2.532,
2014-07,2.471,
