"",BBK01.OECM03M,BBK01.OECM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:37,
2002-01,0.228,
2002-04,0.281,
2002-07,0.218,
2002-10,0.180,
2003-01,0.150,
2003-04,0.195,
2003-07,0.160,
2003-10,0.161,
2004-01,0.111,
2004-04,0.135,
2004-07,0.114,
2004-10,0.138,
2005-01,0.080,
2005-04,0.133,
2005-07,0.109,
2005-10,0.132,
2006-01,0.091,
2006-04,0.135,
2006-07,0.119,
2006-10,0.108,
2007-01,0.113,
2007-04,0.145,
2007-07,0.173,
2007-10,0.097,
2008-01,0.053,
2008-04,0.124,
2008-07,0.131,
2008-10,0.193,
2009-01,0.256,
2009-04,0.250,
2009-07,0.134,
2009-10,0.080,
2010-01,0.135,
2010-04,0.163,
2010-07,0.187,
2010-10,0.198,
2011-01,0.079,
2011-04,0.241,
2011-07,0.227,
2011-10,0.167,
2012-01,0.196,
2012-04,0.371,
2012-07,0.432,
2012-10,0.463,
2013-01,0.525,
2013-04,0.627,
2013-07,0.563,
2013-10,0.567,
2014-01,0.599,
2014-04,0.661,
2014-07,0.650,
