"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:44,
2009-09,4876,
2009-10,5066,
2009-11,4980,
2009-12,5179,
2010-01,5185,
2010-02,5469,
2010-03,5582,
2010-04,5477,
2010-05,5480,
2010-06,5536,
2010-07,5803,
2010-08,5835,
2010-09,5226,
2010-10,5481,
2010-11,5357,
2010-12,5492,
2011-01,5629,
2011-02,5722,
2011-03,5610,
2011-04,5648,
2011-05,5650,
2011-06,5677,
2011-07,5802,
2011-08,5120,
2011-09,5076,
2011-10,5269,
2011-11,5106,
2011-12,5254,
2012-01,5617,
2012-02,5580,
2012-03,5621,
2012-04,5721,
2012-05,5572,
2012-06,5610,
2012-07,6037,
2012-08,5922,
2012-09,6106,
2012-10,6209,
2012-11,6536,
2012-12,6623,
2013-01,6746,
2013-02,7078,
2013-03,7681,
2013-04,8000,
2013-05,8222,
2013-06,7733,
2013-07,7873,
2013-08,7831,
2013-09,8063,
2013-10,8298,
2013-11,8547,
2013-12,8516,
2014-01,8718,
2014-02,8841,
2014-03,8827,
2014-04,8803,
2014-05,9078,
2014-06,9465,
2014-07,9585,
2014-08,10084,
2014-09,10245,
2014-10,10240,
2014-11,10910,
