"",BBFB1.M.N.DE.W1.S1W.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / All sectors excluding General government / Social contributions / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:11,
1991-01,38.243,
1991-02,37.451,
1991-03,35.334,
1991-04,38.444,
1991-05,38.903,
1991-06,36.451,
1991-07,35.686,
1991-08,37.617,
1991-09,35.058,
1991-10,40.493,
1991-11,40.589,
1991-12,46.855,
1992-01,41.712,
1992-02,41.928,
1992-03,40.570,
1992-04,39.713,
1992-05,42.274,
1992-06,38.218,
1992-07,42.381,
1992-08,41.341,
1992-09,39.225,
1992-10,46.383,
1992-11,45.766,
1992-12,47.945,
1993-01,37.928,
1993-02,36.261,
1993-03,38.550,
1993-04,34.766,
1993-05,36.718,
1993-06,35.277,
1993-07,35.720,
1993-08,34.742,
1993-09,35.128,
1993-10,40.976,
1993-11,41.050,
1993-12,41.052,
1994-01,43.471,
1994-02,41.214,
1994-03,40.926,
1994-04,41.325,
1994-05,41.088,
1994-06,40.207,
1994-07,40.976,
1994-08,41.206,
1994-09,41.657,
1994-10,47.158,
1994-11,46.989,
1994-12,47.612,
1995-01,43.103,
1995-02,41.986,
1995-03,42.465,
1995-04,42.649,
1995-05,42.495,
1995-06,41.448,
1995-07,44.528,
1995-08,43.667,
1995-09,41.783,
1995-10,51.053,
1995-11,49.497,
1995-12,52.711,
1996-01,45.796,
1996-02,45.087,
1996-03,43.753,
1996-04,45.202,
1996-05,44.572,
1996-06,43.805,
1996-07,47.057,
1996-08,43.576,
1996-09,44.914,
1996-10,49.703,
1996-11,51.908,
1996-12,50.920,
1997-01,44.137,
1997-02,43.528,
1997-03,43.171,
1997-04,45.260,
1997-05,42.529,
1997-06,44.030,
1997-07,43.828,
1997-08,45.118,
1997-09,43.603,
1997-10,51.297,
1997-11,49.830,
1997-12,51.733,
1998-01,54.802,
1998-02,54.339,
1998-03,54.560,
1998-04,56.278,
1998-05,54.637,
1998-06,52.558,
1998-07,55.150,
1998-08,54.852,
1998-09,54.333,
1998-10,59.820,
1998-11,60.136,
1998-12,61.811,
1999-01,49.215,
1999-02,48.141,
1999-03,58.253,
1999-04,48.564,
1999-05,51.120,
1999-06,45.913,
1999-07,54.811,
1999-08,54.416,
1999-09,48.551,
1999-10,51.073,
1999-11,50.405,
1999-12,67.871,
2000-01,54.831,
2000-02,55.021,
2000-03,55.799,
2000-04,58.004,
2000-05,57.124,
2000-06,58.649,
2000-07,57.376,
2000-08,59.295,
2000-09,57.318,
2000-10,58.185,
2000-11,56.808,
2000-12,76.377,
2001-01,62.343,
2001-02,61.732,
2001-03,60.008,
2001-04,64.039,
2001-05,60.746,
2001-06,65.166,
2001-07,66.383,
2001-08,73.645,
2001-09,63.055,
2001-10,61.782,
2001-11,63.681,
2001-12,78.155,
2002-01,71.493,
2002-02,70.882,
2002-03,71.144,
2002-04,72.074,
2002-05,72.655,
2002-06,72.334,
2002-07,74.758,
2002-08,72.053,
2002-09,73.258,
2002-10,70.936,
2002-11,72.672,
2002-12,91.567,
2003-01,124.251,
2003-02,78.864,
2003-03,82.621,
2003-04,80.880,
2003-05,84.686,
2003-06,80.811,
2003-07,87.553,
2003-08,83.182,
2003-09,81.838,
2003-10,83.191,
2003-11,81.292,
2003-12,102.865,
2004-01,82.125,
2004-02,86.530,
2004-03,82.498,
2004-04,85.015,
2004-05,80.417,
2004-06,86.887,
2004-07,95.103,
2004-08,90.007,
2004-09,89.408,
2004-10,84.024,
2004-11,83.119,
2004-12,104.481,
2005-01,91.847,
2005-02,89.037,
2005-03,90.873,
2005-04,87.248,
2005-05,83.407,
2005-06,87.179,
2005-07,87.523,
2005-08,86.926,
2005-09,89.988,
2005-10,88.262,
2005-11,88.435,
2005-12,120.121,
2006-01,113.659,
2006-02,126.375,
2006-03,104.735,
2006-04,106.593,
2006-05,111.295,
2006-06,113.461,
2006-07,110.186,
2006-08,106.271,
2006-09,105.748,
2006-10,106.599,
2006-11,107.781,
2006-12,155.285,
2007-01,126.393,
2007-02,128.922,
2007-03,125.050,
2007-04,128.511,
2007-05,125.503,
2007-06,124.793,
2007-07,233.819,
2007-08,128.526,
2007-09,123.589,
2007-10,125.238,
2007-11,122.181,
2007-12,152.604,
2008-01,147.481,
2008-02,124.523,
2008-03,129.773,
2008-04,126.721,
2008-05,125.794,
2008-06,124.940,
2008-07,131.018,
2008-08,123.200,
2008-09,125.525,
2008-10,125.249,
2008-11,123.753,
2008-12,157.538,
2009-01,154.641,
2009-02,148.493,
2009-03,151.432,
2009-04,154.068,
2009-05,154.517,
2009-06,154.050,
2009-07,156.485,
2009-08,151.542,
2009-09,153.230,
2009-10,157.032,
2009-11,160.336,
2009-12,198.719,
2010-01,168.619,
2010-02,158.550,
2010-03,161.171,
2010-04,169.976,
2010-05,163.440,
2010-06,448.187,
2010-07,163.769,
2010-08,160.494,
2010-09,169.043,
2010-10,170.244,
2010-11,166.241,
2010-12,209.199,
2011-01,182.371,
2011-02,179.095,
2011-03,184.780,
2011-04,188.611,
2011-05,185.565,
2011-06,182.694,
2011-07,185.604,
2011-08,179.888,
2011-09,180.546,
2011-10,184.983,
2011-11,184.304,
2011-12,235.936,
2012-01,197.186,
2012-02,190.263,
2012-03,192.754,
2012-04,194.656,
2012-05,198.090,
2012-06,192.480,
2012-07,193.838,
2012-08,191.886,
2012-09,192.714,
2012-10,455.073,
2012-11,453.061,
2012-12,595.832,
2013-01,184.015,
2013-02,182.864,
2013-03,183.599,
2013-04,190.277,
2013-05,189.716,
2013-06,192.275,
2013-07,188.734,
2013-08,177.056,
2013-09,176.147,
2013-10,180.109,
2013-11,179.612,
2013-12,235.240,
2014-01,174.439,
2014-02,172.489,Provisional value
2014-03,172.049,Provisional value
2014-04,179.613,Provisional value
2014-05,179.207,Provisional value
2014-06,178.500,Provisional value
2014-07,175.931,Provisional value
2014-08,176.805,Provisional value
2014-09,175.507,
2014-10,179.276,
2014-11,179.489,
2014-12,232.437,Provisional value
