"",BBK01.OEXI01K,BBK01.OEXI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:29,
2002-01,17.963,
2002-04,18.556,
2002-07,19.482,
2002-10,20.687,
2003-01,20.390,
2003-04,19.102,
2003-07,20.041,
2003-10,20.176,
2004-01,19.500,
2004-04,19.543,
2004-07,20.022,
2004-10,12.294,
2005-01,13.047,
2005-04,13.382,
2005-07,13.829,
2005-10,13.476,
2006-01,13.982,
2006-04,14.449,
2006-07,13.312,
2006-10,13.594,
2007-01,14.627,
2007-04,15.196,
2007-07,15.712,
2007-10,17.315,
2008-01,17.213,
2008-04,17.422,
2008-07,18.301,
2008-10,19.187,
2009-01,19.112,
2009-04,19.242,
2009-07,18.841,
2009-10,18.561,
2010-01,19.498,
2010-04,19.576,
2010-07,18.838,
2010-10,20.708,
2011-01,20.685,
2011-04,21.676,
2011-07,22.545,
2011-10,22.300,
2012-01,22.950,
2012-04,25.246,
2012-07,25.257,
2012-10,25.612,
2013-01,27.034,
2013-04,27.130,
2013-07,26.776,
2013-10,27.002,
2014-01,27.070,
2014-04,27.255,
2014-07,27.775,
