"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:57,
1991-01,-198.866,
1991-04,116.641,
1991-07,139.403,
1991-10,395.802,
1992-01,254.642,
1992-04,302.905,
1992-07,-671.186,
1992-10,-637.853,
1993-01,528.575,
1993-04,1129.128,
1993-07,-936.290,
1993-10,1475.910,
1994-01,593.124,
1994-04,670.502,
1994-07,239.132,
1994-10,230.527,
1995-01,-2593.460,
1995-04,157.080,
1995-07,49.663,
1995-10,491.137,
1996-01,1831.313,
1996-04,250.757,
1996-07,-527.230,
1996-10,-469.681,
1997-01,1956.638,
1997-04,77.346,
1997-07,1851.962,
1997-10,-310.333,
1998-01,3100.781,
1998-04,888.334,
1998-07,-441.883,
1998-10,90.801,
1999-01,4052.761,
1999-04,1531.060,
1999-07,702.315,
1999-10,1139.379,
2000-01,877.447,
2000-04,2629.255,
2000-07,1073.346,
2000-10,1476.929,
2001-01,1293.324,
2001-04,2286.893,
2001-07,2217.915,
2001-10,1972.227,
2002-01,2526.265,
2002-04,325.287,
2002-07,158.889,
2002-10,447.674,
2003-01,4012.002,
2003-04,347.650,
2003-07,5681.159,
2003-10,2861.322,
2004-01,2423.202,
2004-04,1845.659,
2004-07,840.408,
2004-10,1968.088,
2005-01,824.738,
2005-04,2092.135,
2005-07,2575.727,
2005-10,2865.298,
2006-01,2534.125,
2006-04,-2436.851,
2006-07,2536.385,
2006-10,2970.923,
2007-01,565.986,
2007-04,1915.471,
2007-07,-782.774,
2007-10,-724.579,
2008-01,-1801.168,
2008-04,-2216.523,
2008-07,-1358.494,
2008-10,-1430.203,
2009-01,-2090.706,
2009-04,-2337.644,
2009-07,-153.227,
2009-10,-2401.665,
2010-01,-1131.367,
2010-04,-453.545,
2010-07,3077.814,
2010-10,1489.659,
2011-01,2837.200,
2011-04,13395.732,
2011-07,2005.218,
2011-10,820.313,
2012-01,2141.157,
2012-04,1970.405,
2012-07,2072.972,
2012-10,2233.651,
2013-01,1614.019,
2013-04,1448.659,
2013-07,974.948,
2013-10,1577.597,
2014-01,922.568,Provisional value
2014-04,440.385,Provisional value
2014-07,817.372,Provisional value
2014-10,870.394,Provisional value
