"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:39,
1991-01,69.537,
1991-04,758.547,
1991-07,137.738,
1991-10,-1365.156,
1992-01,261.259,
1992-04,31.199,
1992-07,-557.396,
1992-10,1147.666,
1993-01,-326.369,
1993-04,1148.158,
1993-07,-344.729,
1993-10,2057.696,
1994-01,154.622,
1994-04,-992.133,
1994-07,-311.234,
1994-10,637.953,
1995-01,169.872,
1995-04,264.123,
1995-07,421.470,
1995-10,-267.585,
1996-01,1353.116,
1996-04,879.848,
1996-07,753.661,
1996-10,177.581,
1997-01,1414.024,
1997-04,528.879,
1997-07,2561.737,
1997-10,1596.806,
1998-01,1812.710,
1998-04,1322.076,
1998-07,56.462,
1998-10,2036.383,
1999-01,3977.633,
1999-04,-3603.897,
1999-07,1920.327,
1999-10,6408.570,
2000-01,1053.070,
2000-04,-3353.095,
2000-07,1627.632,
2000-10,2993.987,
2001-01,-3898.840,
2001-04,3076.453,
2001-07,5249.297,
2001-10,-743.745,
2002-01,-4022.699,
2002-04,3873.705,
2002-07,-1155.352,
2002-10,-1221.657,
2003-01,4860.597,
2003-04,1649.797,
2003-07,1739.018,
2003-10,7456.477,
2004-01,-13883.008,
2004-04,8553.983,
2004-07,-167.930,
2004-10,1309.022,
2005-01,2954.892,
2005-04,-3129.844,
2005-07,6129.406,
2005-10,-4836.245,
2006-01,3774.778,
2006-04,6652.870,
2006-07,4173.393,
2006-10,14665.520,
2007-01,10485.229,
2007-04,1168.910,
2007-07,-8962.751,
2007-10,-23491.262,
2008-01,2239.549,
2008-04,5619.409,
2008-07,4610.719,
2008-10,-7530.355,
2009-01,-7784.578,
2009-04,-5180.633,
2009-07,-2721.277,
2009-10,-691.071,
2010-01,1610.757,
2010-04,456.258,
2010-07,172.227,
2010-10,-86.507,
2011-01,2493.284,
2011-04,-1522.848,
2011-07,8051.857,
2011-10,-7771.097,
2012-01,704.927,
2012-04,553.242,
2012-07,4872.424,
2012-10,-2101.190,
2013-01,1103.627,
2013-04,-85.593,
2013-07,5373.135,
2013-10,-1819.631,
2014-01,7005.005,Provisional value
2014-04,4495.590,Provisional value
2014-07,-593.750,Provisional value
2014-10,-4103.861,Provisional value
