"",BBFB1.Q.N.DE.HU.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:55,
1991-01,389.407,
1991-04,474.273,
1991-07,430.876,
1991-10,466.031,
1992-01,446.928,
1992-04,454.412,
1992-07,514.119,
1992-10,550.280,
1993-01,477.880,
1993-04,527.929,
1993-07,539.816,
1993-10,637.098,
1994-01,601.401,
1994-04,721.086,
1994-07,630.012,
1994-10,770.685,
1995-01,740.586,
1995-04,858.986,
1995-07,809.804,
1995-10,954.582,
1996-01,733.487,
1996-04,969.711,
1996-07,878.160,
1996-10,913.757,
1997-01,948.339,
1997-04,1140.920,
1997-07,1317.301,
1997-10,1557.073,
1998-01,1603.237,
1998-04,1736.534,
1998-07,1643.627,
1998-10,1830.176,
1999-01,1800.521,
1999-04,1781.254,
1999-07,1887.976,
1999-10,2027.434,
2000-01,2011.377,
2000-04,2131.469,
2000-07,2182.685,
2000-10,2463.189,
2001-01,2328.216,
2001-04,2363.979,
2001-07,2283.408,
2001-10,2348.276,
2002-01,2321.734,
2002-04,2417.119,
2002-07,2558.411,
2002-10,2575.420,
2003-01,2604.081,
2003-04,2774.115,
2003-07,2778.244,
2003-10,2652.767,
2004-01,2873.072,
2004-04,3154.158,
2004-07,2872.078,
2004-10,3105.298,
2005-01,2990.644,
2005-04,3408.236,
2005-07,3233.836,
2005-10,3526.104,
2006-01,3687.631,
2006-04,3819.127,
2006-07,3811.913,
2006-10,3899.132,
2007-01,4112.800,
2007-04,4024.325,
2007-07,3987.540,
2007-10,3993.019,
2008-01,4343.690,
2008-04,4644.158,
2008-07,4305.702,
2008-10,3523.738,
2009-01,2811.329,
2009-04,2704.512,
2009-07,2821.780,
2009-10,2932.499,
2010-01,3410.508,
2010-04,3586.050,
2010-07,3739.405,
2010-10,3603.821,
2011-01,3875.797,
2011-04,3800.557,
2011-07,3980.130,
2011-10,3670.210,
2012-01,3865.980,
2012-04,3816.236,
2012-07,3826.381,
2012-10,3530.725,
2013-01,3852.258,
2013-04,3860.116,
2013-07,3773.593,
2013-10,3766.549,
2014-01,4418.858,Provisional value
2014-04,4276.260,Provisional value
2014-07,4397.545,Provisional value
