"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / General government / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:49,
1991-01,684.919,
1991-02,-668.474,
1991-03,-244.879,
1991-04,-625.871,
1991-05,236.232,
1991-06,-118.523,
1991-07,97.481,
1991-08,-150.091,
1991-09,566.605,
1991-10,-363.913,
1991-11,-31.324,
1991-12,214.848,
1992-01,-389.876,
1992-02,60.954,
1992-03,52.250,
1992-04,258.555,
1992-05,-198.578,
1992-06,-108.879,
1992-07,-88.835,
1992-08,-789.320,
1992-09,349.148,
1992-10,69.075,
1992-11,-662.733,
1992-12,413.214,
1993-01,10.148,
1993-02,657.887,
1993-03,-1711.616,
1993-04,-640.404,
1993-05,-254.465,
1993-06,1343.339,
1993-07,1731.559,
1993-08,25.125,
1993-09,380.882,
1993-10,-64.035,
1993-11,-40.080,
1993-12,1388.945,
1994-01,-466.500,
1994-02,-312.788,
1994-03,-543.675,
1994-04,-95.222,
1994-05,310.919,
1994-06,1052.882,
1994-07,541.332,
1994-08,269.704,
1994-09,-771.874,
1994-10,323.325,
1994-11,-49.865,
1994-12,1383.377,
1995-01,-1819.461,
1995-02,1162.009,
1995-03,-1605.488,
1995-04,333.991,
1995-05,310.146,
1995-06,-638.012,
1995-07,161.484,
1995-08,119.064,
1995-09,470.194,
1995-10,-735.856,
1995-11,730.159,
1995-12,2578.752,
1996-01,-3079.593,
1996-02,-842.445,
1996-03,-440.962,
1996-04,1244.900,
1996-05,-452.332,
1996-06,681.120,
1996-07,959.554,
1996-08,1412.754,
1996-09,-1060.279,
1996-10,648.858,
1996-11,891.152,
1996-12,2223.802,
1997-01,-4141.158,
1997-02,-769.085,
1997-03,-210.687,
1997-04,42.516,
1997-05,108.633,
1997-06,-776.399,
1997-07,-1399.863,
1997-08,206.855,
1997-09,331.637,
1997-10,851.366,
1997-11,98.509,
