"",BBFN1.M.DE.N.1.L.IT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:56,
1975-12,0.025,
1976-01,0.024,
1976-02,0.024,
1976-03,0.023,
1976-04,0.026,
1976-05,0.026,
1976-06,0.028,
1976-07,0.024,
1976-08,0.025,
1976-09,0.025,
1976-10,0.025,
1976-11,0.012,
1976-12,0.015,
1977-01,0.008,
1977-02,0.009,
1977-03,0.009,
1977-04,0.016,
1977-05,0.024,
1977-06,0.018,
1977-07,0.018,
1977-08,0.020,
1977-09,0.018,
1977-10,0.012,
1977-11,0.019,
1977-12,0.026,
1978-01,0.035,
1978-02,0.030,
1978-03,0.031,
1978-04,0.037,
1978-05,0.045,
1978-06,0.046,
1978-07,0.052,
1978-08,0.048,
1978-09,0.049,
1978-10,0.046,
1978-11,0.043,
1978-12,0.046,
1979-01,0.047,
1979-02,0.040,
1979-03,0.033,
1979-04,0.015,
1979-05,0.017,
1979-06,0.025,
1979-07,0.031,
1979-08,0.034,
1979-09,0.033,
1979-10,0.037,
1979-11,0.045,
1979-12,0.038,
1980-01,0.050,
1980-02,0.054,
1980-03,0.047,
1980-04,0.033,
1980-05,0.031,
1980-06,0.017,
1980-07,0.026,
1980-08,0.034,
1980-09,0.047,
1980-10,0.055,
1980-11,0.046,
1980-12,0.035,
1981-01,0.034,
1981-02,0.030,
1981-03,0.036,
1981-04,0.027,
1981-05,0.030,
1981-06,0.028,
1981-07,0.034,
1981-08,0.038,
1981-09,0.043,
1981-10,0.048,
1981-11,0.054,
1981-12,0.049,
1982-01,0.044,
1982-02,0.049,
1982-03,0.050,
1982-04,0.054,
1982-05,0.067,
1982-06,0.057,
1982-07,0.043,
1982-08,0.047,
1982-09,0.040,
1982-10,0.047,
1982-11,0.044,
1982-12,0.043,
1983-01,0.070,
1983-02,0.055,
1983-03,0.050,
1983-04,0.054,
1983-05,0.052,
1983-06,0.062,
1983-07,0.070,
1983-08,0.067,
1983-09,0.069,
1983-10,0.055,
1983-11,0.057,
1983-12,0.056,
1984-01,0.048,
1984-02,0.058,
1984-03,0.052,
1984-04,0.054,
1984-05,0.053,
1984-06,0.059,
1984-07,0.071,
1984-08,0.075,
1984-09,0.076,
1984-10,0.077,
1984-11,0.095,
1984-12,0.086,
1985-01,0.081,
1985-02,0.056,
1985-03,0.046,
1985-04,0.057,
1985-05,0.073,
1985-06,0.077,
1985-07,0.075,
1985-08,0.059,
1985-09,0.059,
1985-10,0.061,
1985-11,0.066,
1985-12,0.055,
1986-01,0.040,
1986-02,0.049,
1986-03,0.054,
1986-04,0.051,
1986-05,0.042,
1986-06,0.067,
1986-07,0.067,
1986-08,0.075,
1986-09,0.079,
1986-10,0.072,
1986-11,0.064,
1986-12,0.056,
1987-01,0.058,
1987-02,0.056,
1987-03,0.035,
1987-04,0.045,
1987-05,0.048,
1987-06,0.056,
1987-07,0.064,
1987-08,0.046,
1987-09,0.062,
1987-10,0.061,
1987-11,0.049,
1987-12,0.048,
1988-01,0.037,
1988-02,0.033,
1988-03,0.089,
1988-04,0.039,
1988-05,0.032,
1988-06,0.029,
1988-07,0.031,
