"",BBK01.OEAF34T,BBK01.OEAF34T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:13,
2002-01,3.467,
2002-04,3.463,
2002-07,3.441,
2002-10,3.450,
2003-01,3.561,
2003-04,3.554,
2003-07,4.699,
2003-10,4.826,
2004-01,4.880,
2004-04,4.896,
2004-07,4.913,
2004-10,4.919,
2005-01,5.559,
2005-04,5.560,
2005-07,5.639,
2005-10,5.610,
2006-01,5.616,
2006-04,5.641,
2006-07,5.677,
2006-10,5.717,
2007-01,5.705,
2007-04,5.770,
2007-07,5.795,
2007-10,5.711,
2008-01,5.623,
2008-04,5.590,
2008-07,5.565,
2008-10,5.461,
2009-01,5.371,
2009-04,5.532,
2009-07,5.480,
2009-10,5.174,
2010-01,4.488,
2010-04,5.340,
2010-07,5.605,
2010-10,5.466,
2011-01,5.432,
2011-04,5.395,
2011-07,5.379,
2011-10,5.371,
2012-01,5.353,
2012-04,5.364,
2012-07,5.375,
2012-10,5.362,
2013-01,5.355,
2013-04,5.385,
2013-07,5.377,
2013-10,5.330,
2014-01,5.322,
2014-04,5.342,
2014-07,5.374,
