"",BBK01.OEXB08T,BBK01.OEXB08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:12,
2002-01,3.737,
2002-04,3.777,
2002-07,3.836,
2002-10,3.910,
2003-01,3.934,
2003-04,3.969,
2003-07,3.992,
2003-10,4.092,
2004-01,4.102,
2004-04,4.126,
2004-07,4.151,
2004-10,4.008,
2005-01,4.016,
2005-04,4.061,
2005-07,4.059,
2005-10,4.042,
2006-01,4.047,
2006-04,4.111,
2006-07,4.160,
2006-10,4.243,
2007-01,4.302,
2007-04,4.380,
2007-07,4.448,
2007-10,4.502,
2008-01,4.446,
2008-04,4.459,
2008-07,4.492,
2008-10,4.601,
2009-01,4.649,
2009-04,4.726,
2009-07,4.793,
2009-10,4.969,
2010-01,4.997,
2010-04,4.992,
2010-07,5.161,
2010-10,5.281,
2011-01,5.358,
2011-04,5.434,
2011-07,5.652,
2011-10,5.822,
2012-01,5.915,
2012-04,6.024,
2012-07,6.171,
2012-10,6.231,
2013-01,6.321,
2013-04,6.300,
2013-07,6.358,
2013-10,6.372,
2014-01,6.301,
2014-04,6.292,
2014-07,6.312,
