"",BBK01.OEYJ05K,BBK01.OEYJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:56,
2002-01,22.401,
2002-04,22.465,
2002-07,23.364,
2002-10,23.584,
2003-01,24.064,
2003-04,24.099,
2003-07,24.404,
2003-10,23.801,
2004-01,24.253,
2004-04,25.344,
2004-07,24.952,
2004-10,16.741,
2005-01,17.327,
2005-04,17.365,
2005-07,17.965,
2005-10,18.372,
2006-01,18.880,
2006-04,20.302,
2006-07,27.818,
2006-10,25.838,
2007-01,26.092,
2007-04,26.954,
2007-07,27.395,
2007-10,27.305,
2008-01,27.110,
2008-04,26.701,
2008-07,26.515,
2008-10,26.709,
2009-01,25.280,
2009-04,25.176,
2009-07,24.797,
2009-10,23.867,
2010-01,23.496,
2010-04,23.367,
2010-07,23.028,
2010-10,22.500,
2011-01,22.005,
2011-04,21.316,
2011-07,14.850,
2011-10,14.716,
2012-01,14.191,
2012-04,14.058,
2012-07,13.842,
2012-10,13.564,
2013-01,13.363,
2013-04,13.182,
2013-07,12.872,
2013-10,12.369,
2014-01,11.627,
2014-04,12.033,
2014-07,11.936,
